before	after	difference	id
4	9.1	5.1	Paraglomus brasilianum
3.8	8.6	4.8	Paraglomus occultum
59	58	0	Geosiphon pyriformis
20.2	29.3	9.1	Ambispora gerdemannii
51.8	60.4	8.6	Ambispora leptoticha
18	33.1	15.1	Rhizophagus clarus
13.8	35.3	21.5	Rhizophagus irregularis B12
13.5	36.2	22.7	Rhizophagus irregularis C3
17.8	39.1	21.3	Rhizophagus irregularis C5
22	35.1	13.1	Funneliformis caledonium
23.6	35	11.4	Funneliformis mosseae
4.5	13.2	8.7	Rhizophagus prolifer
9.5	27.1	17.6	Oehlia diaphana
26.6	38.1	11.5	Acaulospora morrowiae
40.9	55.8	14.9	Cetraspora pellucida FL966
32.3	53.6	21.3	Cetraspora pellucida 2015
13.5	41	27.5	Dentiscutata erythropus
20.3	47	26.7	Dentiscutata heterogama
17.4	28.7	11.3	Diversispora eburnea
22.2	32.8	10.6	Diversispora epigaea
15.4	45.8	30.4	Gigaspora margarita BEG34
9.7	42.5	32.8	Gigaspora margarita DAOM
11.1	43.4	32.3	Gigaspora margarita FL
17.5	45.5	28	Racocetra fulgida
36.7	49.9	13.2	Scutellospora calospora
8.4	15	6.6	Claroideoglomus candidum CCK
8.7	14.9	6.2	Claroideoglomus candidum NC
