Divergence,DNA/TIRS,DNA/Crypton,RC/Helitron,Maverick,LTR,DIRS,PLE,LINE,SINE
0,0.002918197,0,9.67E-05,9.71E-05,0.007717261,1.30E-05,0,0.005522527,0
1,0.006136585,0,0,7.97E-05,0.005304387,0,0,0.005152957,0
2,0.016690658,0,6.50E-05,0.000494316,0.013242123,2.74E-05,0,0.014205405,0
3,0.039722699,3.10E-05,0.000577702,0.002906189,0.022486359,6.87E-05,0,0.011584064,0
4,0.089776996,1.80E-05,0.000160102,0.027279086,0.043399047,3.54E-05,0,0.020440386,0
5,0.185993771,5.70E-05,0.001347527,0.056990059,0.103478412,0.000180782,0,0.041153613,0
6,0.345150739,3.27E-05,0.001899546,0.025025314,0.171927456,0.004411817,0,0.130269854,0
7,0.463711449,9.01E-06,0.003785751,0.024698772,0.183818049,3.74E-05,0,0.349872754,0
8,0.496752881,1.30E-05,0.003905828,0.009386994,0.209595509,0.00251594,8.67E-06,0.600293333,0
9,0.490671331,4.17E-05,0.007707922,0.012968615,0.168879843,0.000147761,0,0.879225786,0
10,0.465734407,7.40E-05,0.008328652,0.006990797,0.150198246,0.001491286,0,1.094644681,0
11,0.435709567,4.77E-05,0.005424464,0.011469324,0.134618965,0.000507658,1.27E-05,1.056560695,0
12,0.308341233,5.90E-05,0.007138892,0.015164017,0.136785681,0.000950273,0,0.952333805,0
13,0.246949696,0.00013075,0.005257357,0.011006362,0.118838888,0.000987964,1.63E-05,0.926866542,0
14,0.23718446,0.000111738,0.005549877,0.00978158,0.114285313,0.000674764,4.37E-05,0.912512709,0
15,0.212971999,9.31E-05,0.005877086,0.019687572,0.130046378,0.00109103,0,0.898961056,0
16,0.203532304,0.00025116,0.003606303,0.011492339,0.110068954,0.002289462,1.60E-05,0.945945392,0
17,0.184297021,0.00023982,0.005028544,0.016057921,0.102329679,0.000853879,2.53E-05,1.017367667,0
18,0.179428579,0.000299858,0.0075168,0.01881835,0.096899211,0.001136726,1.27E-05,1.091569051,0
19,0.163161524,0.000173778,0.003837784,0.01809222,0.076432141,0.001032993,0,1.149085446,0
20,0.152721191,0.000272174,0.00434344,0.016263385,0.083803849,0.001493954,0,1.076432385,0
21,0.168226092,0.0002088,0.00503755,0.024550677,0.066641556,0.000446285,1.30E-05,0.938159754,0
22,0.16610974,0.000247491,0.004569918,0.018852038,0.066058517,0.002781776,0,0.866533348,0
23,0.1849421,0.00029252,0.002713399,0.022099446,0.06872055,0.004190343,0,0.894319758,0
24,0.211113479,6.04E-05,0.004108624,0.025030317,0.073175061,0.001150401,2.97E-05,0.976774412,0
25,0.236064078,6.57E-05,0.003556271,0.020809622,0.065427447,0.004964504,0,1.00104391,0
26,0.241608619,0.000324541,0.00620663,0.015825773,0.06635604,0.003156682,0,1.105687733,0
27,0.252460215,0.000409261,0.006137586,0.014827468,0.084818496,0.002034299,2.70E-05,1.15951644,0
28,0.259246215,0.000114073,0.009677847,0.020475075,0.096806151,0.001057008,0,1.198760834,0
29,0.249798849,0.000241488,0.014930534,0.019263301,0.105463013,0.00260433,0,1.31524822,0
30,0.252274763,1.83E-05,0.011564385,0.014718065,0.117814901,0.002532951,0,1.240013177,0
31,0.238464611,0,0.007036493,0.020879667,0.144061995,0.00248959,0,1.14209765,0
32,0.231005181,0.000179448,0.008095836,0.015119989,0.160425777,0.003838785,0,1.106046629,0
33,0.231043205,1.53E-05,0.007866357,0.01791544,0.164529064,0.003838785,0,1.098173268,0
34,0.23912003,2.60E-05,0.006024847,0.016149313,0.140109471,0.003849792,0,1.099941397,0
35,0.223743211,0,0.006275007,0.017016533,0.143551002,0.004586262,0,1.018525407,0
36,0.193183696,2.70E-05,0.005712314,0.012462291,0.149267319,0.005323733,0,0.982338298,0
37,0.157979215,0,0.005830056,0.012022677,0.125940756,0.003459543,0,0.881655004,0
38,0.145523261,0,0.002976901,0.010560077,0.117446999,0.002944881,0,0.782379276,0
39,0.11172768,0,0.002448564,0.009637154,0.097967226,0.002345498,0,0.721580785,0
40,0.090768963,0,0.003595629,0.006941433,0.089353059,0.001787475,0,0.66151843,0
41,0.060308178,0,0.001364872,0.003040942,0.074144347,0.001107707,0,0.551238341,0
42,0.047453303,0,0.001566334,0.006073545,0.055150551,0.000867888,0,0.448603801,0
43,0.028374786,0,0.001936904,0.003176362,0.047425952,0.001063679,0,0.360441169,0
44,0.024677092,0,0.000534008,0.002733746,0.037364527,0.00021914,0,0.239975576,0
45,0.012984291,0,0.000274175,0.002947549,0.033465037,0.000144759,0,0.176365957,0
46,0.009003082,0,0.000296189,0.001490285,0.02374483,0,0,0.129040736,0
47,0.004575589,0,0.000120077,0.002969563,0.019969752,3.30E-05,0,0.094514021,0
48,0.004423825,0,0,0.001038997,0.01397926,0,0,0.067408379,0
49,0.003166022,0,0.000103733,0.000805514,0.010074767,0,0,0.046823234,0
50,0.001808822,0,5.00E-05,0.000873891,0.009267585,4.84E-05,0,0.033495389,0
