Divergence,DNA/TIRS,DNA/Crypton,RC/Helitron,Maverick,LTR,DIRS,PLE,LINE,SINE
0,0.013070977,0,4.66E-05,0.000296706,0.008270252,6.03E-05,0.000206898,0.002241778,0
1,0.009545746,0,0,3.30E-05,0.006611654,0,0,0.00607963,0
2,0.068928998,0,8.75E-05,0.000297843,0.016350658,0,0.001382354,0.005437335,0
3,0.103220702,9.66E-05,0.000543393,0.000713913,0.038172755,0.000275107,0.003239893,0.003115981,0
4,0.087155382,5.57E-05,0.000147785,0.001025398,0.128420245,4.66E-05,0.000998114,0.002879526,0
5,0.102040699,4.09E-05,0.000283064,0.002644207,0.269329423,0.000414934,0.004066349,0.01232637,0
6,0.090694255,0.000238729,0.000529751,0.005455524,0.500117767,0.000618422,0.003870819,0.018363938,0
7,0.087174708,0.000130733,0.000708229,0.009904977,0.756177273,0.000893528,0.001320967,0.016135802,0
8,0.09566209,0.000100039,0.001180003,0.007698439,0.756658141,0.001178866,0.001084511,0.024324204,0
9,0.104900899,0.000162563,0.001111795,0.011182745,0.661122237,0.003965174,0.001848444,0.035603577,0
10,0.108015743,0.000237592,0.001324377,0.020297642,0.541768007,0.002621471,0.005406642,0.055479465,0
11,0.134428256,0.000464953,0.001993955,0.011446483,0.554447923,0.004585869,0.001144762,0.074012787,0
12,0.133956483,0.000436533,0.002922724,0.027874444,0.468846552,0.003330837,0.000942411,0.062058152,0
13,0.14312481,0.000472911,0.002588504,0.039424376,0.446790273,0.008604472,5.57E-05,0.052064504,0
14,0.144102462,0.000275107,0.002914766,0.037178051,0.53604647,0.013587086,0.000832141,0.074159435,0
15,0.194005901,0.000866245,0.003241029,0.032036285,0.557313807,0.012127429,0.00283519,0.069408729,0
16,0.208251197,0.000999251,0.006227414,0.041944672,0.446635668,0.00542142,0.000103449,0.039337979,0
17,0.201852125,0.000783258,0.003534325,0.036940459,0.368765704,0.006146701,0.000343315,0.040507751,0
18,0.237800153,0.000903759,0.006119418,0.031637266,0.375538784,0.00486666,0.000143237,0.031383759,0
19,0.245479267,0.001820024,0.005869321,0.032846826,0.407868364,0.004320993,0.000271696,0.027636852,0
20,0.240270429,0.001397133,0.004860976,0.037567975,0.395587466,0.003485442,0.000252371,0.04297689,0
21,0.251220129,0.000595686,0.005104252,0.036974563,0.370065071,0.004934868,4.66E-05,0.046437323,0
22,0.247510737,0.001659734,0.005659012,0.042998489,0.357212361,0.004615426,0.000888981,0.04352483,0
23,0.308789041,0.001641546,0.004690455,0.027243517,0.395059989,0.006352463,0.000974241,0.064419295,0
24,0.300474453,0.001406227,0.006686683,0.03697911,0.436660209,0.0145852,5.12E-05,0.057247196,0
25,0.359866799,0.001141352,0.005636276,0.040156478,0.457181802,0.009611681,8.07E-05,0.09728431,0
26,0.331237517,0.001392585,0.006802637,0.040937463,0.505850672,0.013481363,0.001353934,0.103845945,7.84E-05
27,0.377577074,0.001165225,0.00607963,0.026451165,0.491852063,0.008812508,0.001255032,0.080383439,0
28,0.368858922,0.002209948,0.002598735,0.031420137,0.463809372,0.009737866,0.001739311,0.083459631,0
29,0.363974073,0.000833278,0.004602921,0.038996938,0.412838473,0.00745971,0,0.09211867,0
30,0.36823709,0.0023691,0.003355847,0.030109401,0.318870222,0.007581349,0.000503604,0.091788997,0
31,0.375670653,0.000165973,0.005657875,0.043104212,0.336215583,0.010973573,0.001058365,0.074992712,0
32,0.371262126,0.000599096,0.00319442,0.039683568,0.280274576,0.007518824,0.000419481,0.087336134,0
33,0.350425638,0.001477846,0.005813618,0.04226184,0.316643222,0.006380883,0,0.079858235,0
34,0.368386011,0.000335357,0.005000803,0.044060265,0.305219475,0.007931484,0,0.084898826,0
35,0.34845783,0.000541119,0.007907611,0.03948008,0.292124625,0.008210001,0.000421754,0.093882991,0
36,0.315516649,0.001251622,0.004344866,0.035419414,0.31268828,0.004203903,0.000228498,0.083259554,0
37,0.285143509,0.000160289,0.002910219,0.036782443,0.277551929,0.002603282,0.000502468,0.100922084,0
38,0.24429358,7.73E-05,0.00297388,0.030607321,0.178804553,0.002299755,0,0.057173303,0
39,0.220732172,0.000136417,0.00368552,0.022246125,0.206708553,0.00153696,0,0.050630994,0
40,0.144089957,0.000489963,0.001256169,0.015465087,0.120045407,0.002241778,0,0.05111641,0
41,0.114417089,0.00113112,0.001267537,0.021687954,0.129687782,0.001448289,0,0.042330048,0
42,0.069288228,0,0.000525204,0.011914847,0.107578073,0.001353934,0,0.031853259,0
43,0.059210457,0,0.000171657,0.010828062,0.067826297,0.00080031,0,0.022093793,0
44,0.04385564,9.09E-05,0.000164837,0.010431317,0.063213145,0.000239866,0,0.021426489,0
45,0.034301936,0,0.001018577,0.008162256,0.039143586,0.000511562,0,0.015169518,0
46,0.018759546,0,0.000459269,0.002558947,0.030884702,0.001018577,0,0.012142208,0
47,0.011787525,0,0.000287612,0.004257332,0.024715264,0.000165973,0,0.009286555,0
48,0.006312675,0,0.000392198,0.001544917,0.016172179,9.89E-05,0,0.00156538,0
49,0.009127402,0,0.000190983,0.000777574,0.00762,0,0,0.001300504,0
50,0.003971995,0,9.21E-05,0.002489602,0.008901178,0,0,0.004045887,0
