Divergence,DNA/TIRS,DNA/Crypton,RC/Helitron,Maverick,LTR,DIRS,PLE,LINE,SINE
0,0.003047636,3.65E-05,7.25E-05,0.000138944,0.002672893,2.99E-05,0.000360544,0.001029908,0
1,0.003237289,0,5.32E-05,0.000131844,0.003547124,0,0.000245434,0.001056277,0
2,0.011758499,0,0.00015872,0.000840762,0.010465409,1.93E-05,8.77E-05,0.002048153,0
3,0.02529335,7.00E-05,0.000260139,0.001963469,0.015940505,3.25E-05,0.001300189,0.017152967,0
4,0.037643628,0.00013793,0.000187118,0.001624223,0.035220732,0.000114096,0.002131824,0.060751909,0
5,0.048250009,9.23E-05,0.00019726,0.002979178,0.053758573,2.84E-05,0.002374722,0.127779107,0
6,0.050231733,5.73E-05,0.00190566,0.004706341,0.086211078,7.61E-05,0.012040951,0.064915659,0
7,0.082839409,0.000203345,0.000821493,0.005236761,0.136491999,0.000196245,0.016017076,0.031918535,0
8,0.104079555,0.000282959,0.001440655,0.004486262,0.300973568,8.11E-05,0.020631126,0.048765217,0
9,0.130702505,0.000288029,0.001206377,0.005939087,0.824247072,0.000395026,0.008913701,0.085041212,0
10,0.163259979,0.000264703,0.001685074,0.007014126,1.981763018,0.000242898,0.010094723,0.140971162,0
11,0.197630314,0.000547155,0.001804748,0.008477093,3.270721826,0.000341781,0.005928945,0.121633126,0
12,0.236907799,0.000424945,0.002119146,0.013883731,4.235187532,0.00024087,0.0008149,0.089707999,0
13,0.211562218,0.000540055,0.003650064,0.012093689,4.340983601,0.000343303,0.003567407,0.081065593,0
14,0.209320355,0.000434073,0.004850863,0.020323827,3.667065099,0.000985791,0.0029021,0.090967114,0
15,0.205111474,0.000698776,0.002808287,0.023265987,3.022729456,0.001131327,0.003488301,0.122971855,0
16,0.207238227,0.000556282,0.003629273,0.020212266,2.695654738,0.000742386,0.000948773,0.090157792,0
17,0.239286577,0.000898064,0.003494386,0.02264429,2.413328544,0.000801209,0.001769759,0.0717736,0
18,0.272577309,0.000445229,0.003492865,0.030452018,2.267530353,0.001164288,0.000376771,0.079332853,3.09E-05
19,0.278981908,0.001092788,0.002998448,0.027842005,2.089450548,0.001298668,0.000370179,0.069758915,0
20,0.273817661,0.000372207,0.002622691,0.035363732,2.17024231,0.001307796,0.000688634,0.100026351,0
21,0.252691611,0.00097717,0.003184551,0.032894691,2.26159228,0.001543595,0.00138386,0.072491645,0
22,0.246362569,0.0012652,0.003489822,0.043967599,1.977474015,0.001398059,0.002044097,0.062826431,0
23,0.247886387,0.000663279,0.007079034,0.050617632,1.67718756,0.002146022,0.001169866,0.044674995,0
24,0.287747031,0.00138386,0.00863987,0.034584329,1.424700815,0.00139603,0.001458403,0.050109016,0
25,0.265329412,0.000622712,0.007589678,0.040007194,1.147878621,0.001337207,0.002150586,0.050060842,0
26,0.296916814,0.000781432,0.005748926,0.038388549,0.908178255,0.001489843,0.00160191,0.069069267,0
27,0.313787837,0.001620166,0.004413748,0.038567046,0.657804064,0.001697751,0.002101398,0.066861886,0
28,0.34031089,0.000631332,0.008039978,0.034449949,0.498301146,0.00175911,0.001529396,0.100952305,0
29,0.339454915,0.00056186,0.005446698,0.042638505,0.353277287,0.001058813,0.000984777,0.115755398,0
30,0.364843091,0.000344317,0.00388637,0.033116798,0.281793238,0.001399073,0.000485796,0.107350819,0
31,0.401465431,0.000555268,0.004274804,0.039794214,0.227797852,0.001153639,0.000352938,0.119330412,0
32,0.418488075,3.40E-05,0.004633826,0.039344422,0.204695656,0.002710418,0.000495938,0.119701604,0
33,0.425316605,9.94E-05,0.002900071,0.035016373,0.190755131,0.000839748,0.000832142,0.118262978,0
34,0.409644353,9.84E-05,0.002793075,0.038628405,0.202808759,0.00095283,0.001943185,0.092157771,0
35,0.387813442,0,0.002939118,0.039000105,0.18351839,0.000723116,0.000112575,0.073734026,0
36,0.352728612,7.40E-05,0.001529903,0.035860178,0.139760728,0.001156175,0.00016582,0.06236244,0
37,0.339756636,0.000131844,0.003126743,0.036839376,0.138577677,0.001244916,7.15E-05,0.052516699,0
38,0.315356279,9.99E-05,0.003369134,0.033043777,0.119964786,0.000382349,0.00015365,0.046128834,0
39,0.261772147,0,0.000623219,0.02769799,0.098429512,0.000404661,0.000442186,0.040325142,0
40,0.224624457,0,0.001589233,0.025385641,0.093048736,0.000401619,6.29E-05,0.032792765,0
41,0.183737962,0,0.00117443,0.020814694,0.078047876,0.000449285,0,0.022954631,0
42,0.140210521,0,0.001431527,0.020743194,0.063032818,0.000529913,0,0.019402437,0
43,0.112548534,0,0.001233253,0.01553483,0.057324966,0.000341781,0,0.019570792,0
44,0.080991051,0,0.000330625,0.017473958,0.037339371,0.000313891,0,0.013018628,0
45,0.055078032,0,6.59E-05,0.011290451,0.034351065,0.000214501,0.000329104,0.008831552,0
46,0.046663312,0,0.000476161,0.01186651,0.021810627,0.000461456,0,0.006549121,0
47,0.037230853,0,0.000316934,0.008564313,0.016014541,6.19E-05,0,0.006334113,0
48,0.023313654,0,5.73E-05,0.004918813,0.010851308,1.12E-05,0,0.003387896,0
49,0.018561675,0,0.000261153,0.002875224,0.006130768,1.22E-05,0,0.002560826,0
50,0.012556666,0,0,0.001385381,0.004100363,0,0,0.001135891,0
