Divergence,DNA/TIRS,DNA/Crypton,RC/Helitron,Maverick,LTR,DIRS,PLE,LINE,SINE
0,0.006910323,1.33E-05,0.000206149,0.000224889,0.015149413,2.29E-05,0,0.012345151,0
1,0.014429949,0.000105588,0.000344191,9.23E-05,0.002165247,2.93E-05,0,0.030972123,0
2,0.025482443,0,0.000691581,0.004652743,0.008093735,0.000303052,0,0.041658029,0
3,0.037677211,1.23E-05,0.000497774,0.006117724,0.008203894,0.001998865,0,0.060907103,0
4,0.063896487,0.000174609,0.005155088,0.006217828,0.028410577,0.000966293,0,0.072822587,0
5,0.140520255,3.34E-05,0.005484652,0.011657227,0.043125752,0.002780036,0,0.086549986,0
6,0.174654543,0.0001321,0.007041508,0.00932377,0.099588089,0.001737408,0,0.134821227,0
7,0.21496552,0.000291168,0.01107032,0.009736068,0.138319812,0.00252315,1.28E-05,0.160869094,0
8,0.259109217,0.000223518,0.009676189,0.007789768,0.140658754,0.002624624,1.74E-05,0.177605988,0
9,0.301761879,0.001447612,0.011408112,0.012355664,0.148666098,0.009143676,0,0.196452821,0
10,0.303117158,0.000974521,0.011278297,0.008268801,0.151351516,0.003656739,2.93E-05,0.254983044,0
11,0.295177463,0.001908818,0.011675054,0.010704647,0.185211548,0.005126291,3.61E-05,0.288196748,0
12,0.286999166,0.000173695,0.010040491,0.01939443,0.23357238,0.006523623,0,0.397330297,0
13,0.28137053,0.001460867,0.013939489,0.014295564,0.256657831,0.004080921,1.97E-05,0.460367451,0
14,0.244436094,0.000921955,0.011519185,0.020887751,0.214635499,0.004765645,0,0.607000402,0
15,0.224223926,0.002311059,0.009296345,0.022756344,0.18841988,0.008250975,7.31E-05,0.680102273,0
16,0.207472862,0.001145931,0.010051462,0.01869325,0.170315365,0.005897863,0,0.725927612,0
17,0.206892811,0.001541316,0.011990905,0.028991542,0.124094183,0.00351504,2.06E-05,0.735167278,0
18,0.186450269,0.001740608,0.008484549,0.033279525,0.115527357,0.007520541,0,0.829391388,0
19,0.203674424,0.000925612,0.008087336,0.028206714,0.097411415,0.005279874,4.85E-05,0.817645485,0
20,0.229538082,0.00190379,0.010253039,0.022466091,0.122391971,0.004781186,6.31E-05,0.89083146,0
21,0.229420152,0.002255751,0.01717159,0.02775465,0.103769113,0.003531953,0,0.813645926,0
22,0.220627066,0.00109108,0.019665486,0.031814087,0.09515795,0.004497332,5.90E-05,0.7310891,0
23,0.231907649,0.001557771,0.021484713,0.034476193,0.09642181,0.007559394,4.16E-05,0.768644267,0
24,0.227643434,0.002188101,0.039709444,0.030670442,0.107846834,0.00572234,6.40E-05,0.781686484,0
25,0.250837673,0.001470466,0.045929557,0.037172124,0.104191009,0.006784165,3.38E-05,0.792023171,0
26,0.261401535,0.001082852,0.042114207,0.034419514,0.099379655,0.006122752,7.95E-05,0.822273088,0
27,0.270909514,0.001280773,0.049377862,0.036693548,0.105517491,0.00657116,3.47E-05,0.767867667,0
28,0.286867066,0.000324993,0.044310993,0.031971784,0.079278103,0.00663241,0.000249572,0.750223444,0
29,0.295495142,0.002282719,0.045161185,0.03084688,0.088074846,0.004220334,0.000292539,0.735225329,0
30,0.321232186,0.001737865,0.040422508,0.023806286,0.077018695,0.004585094,0,0.768353556,0
31,0.330737422,0.001519832,0.045151129,0.025485186,0.078975051,0.005864495,3.98E-05,0.744786787,0
32,0.338254306,0.001672958,0.037348104,0.024097453,0.073779739,0.009851712,0,0.727537035,0
33,0.35439241,0.002362253,0.038116477,0.023314911,0.08689052,0.008077737,0.000131643,0.729660229,0
34,0.370693696,0.001418358,0.03495294,0.021289535,0.091174846,0.006901638,0,0.708830986,0
35,0.362307879,0.001154158,0.024901022,0.021460487,0.086589753,0.0076307,0,0.62229837,0
36,0.334416101,0.000261457,0.017646966,0.019096863,0.093641317,0.008532086,0,0.553402206,0
37,0.286300272,0.000687467,0.014619643,0.020087382,0.073582275,0.009540432,0,0.472980001,0
38,0.254437733,0.000228546,0.013668434,0.023023743,0.079921232,0.005660175,1.33E-05,0.382794302,0
39,0.197279244,0.000312651,0.008925186,0.012204367,0.07541293,0.007080818,0,0.305665448,0
40,0.178202037,0,0.010071116,0.015826824,0.081704806,0.011011356,0,0.271514247,0
41,0.129237843,0.000116101,0.004548069,0.010010323,0.081323591,0.002603598,4.85E-05,0.227336268,0
42,0.111584021,0,0.002750782,0.007734003,0.068641106,0.003257697,0.000131186,0.180498469,0
43,0.07485482,0,0.003680051,0.007209261,0.069176818,0.002313345,0,0.154772852,0
44,0.050170917,0,0.003507727,0.006334843,0.060919902,0.003579948,0.000136214,0.12862214,0
45,0.036119897,0,0.001885963,0.004632631,0.050680118,0.005063669,0.000136214,0.103599989,0
46,0.029007083,0,0.001206267,0.00276998,0.047505154,0.002244781,0,0.083258006,0
47,0.019975851,0,0.001107078,0.003055205,0.03508184,0.001726895,0,0.062516982,0
48,0.010533237,0,0.000187865,0.00098092,0.02935493,0.000929269,0,0.051096072,0
49,0.009624537,0,0.000245002,0.000926983,0.020352495,0.0005188,0,0.032762554,0
50,0.007895814,0,0,0.000292539,0.01778775,0.000108788,0,0.027976796,0
