Divergence,DNA/TIRS,DNA/Crypton,RC/Helitron,Maverick,LTR,DIRS,PLE,LINE,SINE
0,0.006000142,0.000104437,0.001464985,0.000278977,0.000819762,3.43E-05,0,0.001277569,0
1,0.00462958,0,0.002683897,0.000599442,0.00077255,0,0,0.00242495,0
2,0.007526644,0,0.007422207,0.000221751,0.004140298,0,0,0.001203176,0
3,0.017090532,0.00017597,0.01040654,0.000343356,0.006736926,8.87E-05,0,0.003330551,4.29E-05
4,0.015974626,0.000114452,0.011923028,0.001470707,0.004659624,0.00019886,0,0.004835593,0
5,0.031196731,0.00024178,0.011131879,0.004087364,0.005761223,0.000108729,0,0.003183194,0
6,0.026315357,0.000680989,0.010664057,0.009665464,0.005284817,0.000263239,0,0.003213238,0
7,0.038950848,0.000596581,0.021886067,0.005493692,0.00617325,0.000248933,0,0.005359211,0
8,0.038225509,0.002031521,0.020981897,0.002957151,0.015782919,0.000589427,0,0.004156035,0
9,0.052085636,0.000834068,0.015493928,0.015715679,0.008868593,0.000347648,6.44E-05,0.008782754,0
10,0.061689582,0.000765397,0.01503469,0.016109107,0.010728436,0.000540785,0,0.005330598,0
11,0.064261889,0.001224635,0.014252125,0.015349432,0.009805668,0.000706741,0,0.007699753,0
12,0.074608342,0.000864112,0.013393735,0.012272107,0.012329333,0.00033048,0,0.008788476,0
13,0.071312127,0.000965688,0.011003121,0.028296805,0.012768542,0.001201745,9.30E-05,0.007729796,0
14,0.090794704,0.000931352,0.017142036,0.020810219,0.018194993,0.001134505,0,0.00976561,0
15,0.110390302,0.003479338,0.014302197,0.01119912,0.018594144,0.00125754,8.01E-05,0.015699941,9.16E-05
16,0.109743649,0.002659576,0.016277924,0.0132707,0.023529883,0.001831231,0,0.017591259,0
17,0.13445954,0.004035861,0.017342326,0.014038958,0.021395355,0.001578006,0,0.015295068,0
18,0.151100849,0.002362001,0.020398193,0.010232001,0.024632913,0.002103054,0.000233196,0.018710027,0
19,0.158525917,0.004423567,0.021106364,0.009375042,0.024993437,0.002304775,0,0.021034831,0
20,0.19133785,0.002462147,0.017565508,0.012913037,0.030434195,0.003147428,5.72E-05,0.015911677,0
21,0.198911705,0.003937146,0.020328091,0.017385246,0.028746029,0.002279024,0,0.020914657,0
22,0.209366888,0.002420658,0.022339583,0.015001785,0.030920615,0.001862705,0.000323327,0.021784491,0
23,0.211846202,0.0035709,0.022157891,0.017639901,0.026959149,0.002543694,0,0.01840816,0
24,0.249150373,0.00385703,0.023502701,0.01228069,0.032369863,0.004113116,0,0.02491189,0
25,0.25044368,0.002313359,0.029979248,0.022060607,0.032228229,0.002672452,6.87E-05,0.017316575,0
26,0.305489328,0.00308734,0.026734537,0.01929087,0.033276894,0.002324805,0,0.023514146,0
27,0.311051691,0.003542287,0.041704847,0.027354008,0.035136738,0.002178878,7.73E-05,0.022900398,0
28,0.343387219,0.002088747,0.034930724,0.024704446,0.040329993,0.002313359,0.000103007,0.030245349,0
29,0.328492733,0.005243328,0.046497521,0.020800205,0.052687939,0.003467893,0.000240349,0.027355438,0
30,0.345441631,0.002618088,0.039919397,0.019498314,0.053808137,0.002367724,0.000575121,0.033574469,0
31,0.363028598,0.003133121,0.048486123,0.027351146,0.035468648,0.002422089,0,0.045234258,0
32,0.394391284,0.002273301,0.045342987,0.014672735,0.037763409,0.002598058,0,0.051144269,0
33,0.338903565,0.004602398,0.048383116,0.014765728,0.02147261,0.003805526,0.000206013,0.056363276,0
34,0.298686593,0.001932807,0.049368833,0.019491161,0.035916442,0.002553708,0.000670974,0.066475103,0
35,0.254605438,0.002100193,0.044493182,0.01968716,0.032000755,0.003648155,0,0.062344819,0
36,0.21100355,0.003586637,0.044491751,0.024422608,0.024019165,0.002505066,0.000251794,0.055124334,0
37,0.160666167,0.004107393,0.064519406,0.017388107,0.023189389,0.002527957,0,0.060040044,0
38,0.138617006,0.001682443,0.033432835,0.013232072,0.016963204,0.002414935,0,0.03392927,0
39,0.101056749,0.001400605,0.035850632,0.016592666,0.008744126,0.002223228,0.000128758,0.021601368,0
40,0.071581089,0.000672405,0.021545573,0.013167693,0.009552443,0.001399175,0,0.011566797,0
41,0.052666479,0.000207444,0.015107653,0.008257706,0.008809936,0.001040082,0,0.011609716,0
42,0.038510208,0,0.009757026,0.008457997,0.010526715,0.000532201,0,0.003728271,0
43,0.025167976,0,0.006841363,0.004570923,0.006075966,0.000337633,0,0.00670116,0
44,0.018313737,0.000171678,0.007849971,0.003962898,0.004802688,0.000233196,0,0.003998664,0
45,0.010613984,0,0.003280478,0.001273278,0.002957151,0.001111614,0,0.00079401,0
46,0.008130378,0.000137342,0.003608097,0.001598035,0.002331958,0.000143065,0,0.002105915,0
47,0.003506521,0,0.001061542,0.001908486,0.000490713,0.000394859,0,0.001602327,0
48,0.002091609,0,0.001197453,0.000437779,0.002168864,5.29E-05,0,0.000414888,0
49,0.00277832,0,0.000839791,0.000845514,0.000609456,0.000155941,0,0.000643792,0
50,0.001603757,0,0.001204606,0.000187415,0.000570829,0.000164525,0,0,0
