Divergence,DNA/TIRS,DNA/Crypton,RC/Helitron,Maverick,LTR,DIRS,PLE,LINE,SINE
0,0.004951691,6.20E-05,0.001510766,0.000287141,0.00055641,2.86E-05,0,0.000552836,0
1,0.00197186,0,0.002954811,4.77E-05,0.00030263,0,0,0.000356245,0
2,0.006544668,0,0.004363112,0.000209696,0.002152961,0,0,0.001710931,0
3,0.011615505,0.000113188,0.007672977,0.000484923,0.005492613,3.46E-05,0,0.00211126,0
4,0.012823642,5.96E-05,0.007325072,0.001882501,0.004619275,0.000132252,0,0.003283653,0
5,0.024243748,0,0.009510202,0.001903947,0.00391155,0.000127486,0,0.004638339,0
6,0.024594036,0.00060526,0.011068627,0.00626825,0.004257073,0.000378883,0,0.002381721,0
7,0.025070619,0.000791127,0.013085762,0.008399765,0.004973138,0.000256163,0,0.003317014,0
8,0.033227327,0.000682704,0.012063493,0.006809171,0.005622481,0.000414627,0,0.002971491,0
9,0.039646892,0.001799099,0.011115094,0.011217559,0.006544668,0.000240674,5.36E-05,0.004425068,0
10,0.051413713,0.001143798,0.014840777,0.01651239,0.007651531,0.00054807,6.31E-05,0.005503336,0
11,0.054886807,0.000682704,0.014010332,0.007017676,0.008325895,0.000390798,0,0.006999804,0
12,0.062935093,0.000912655,0.012883215,0.022131297,0.01049792,0.000717257,0,0.007568129,0
13,0.074562513,0.001042524,0.00981879,0.02011297,0.01198724,0.000975803,7.74E-05,0.006557774,5.96E-05
14,0.075976771,0.000780404,0.012668752,0.020782568,0.015397187,0.000803041,5.60E-05,0.00835449,0
15,0.100227668,0.00186582,0.01578441,0.019307546,0.017391684,0.000807807,6.67E-05,0.009128936,0
16,0.099042169,0.00141545,0.013652895,0.013732723,0.017834906,0.000909081,0,0.01467993,0
17,0.117918408,0.005941791,0.014880095,0.015309019,0.022822341,0.001695442,0,0.016507624,0
18,0.127013984,0.001851523,0.016969909,0.011639334,0.022091979,0.001394004,3.93E-05,0.019461244,0
19,0.134930018,0.002901196,0.020943415,0.012239828,0.02030956,0.001318942,0,0.016882933,0
20,0.147458179,0.002206577,0.019152656,0.015760581,0.020141565,0.0021196,0.000341948,0.016287205,0
21,0.174696056,0.001765738,0.019269419,0.013857826,0.022560221,0.001361834,8.58E-05,0.016545751,0
22,0.180572317,0.002259001,0.020621722,0.010300138,0.029452794,0.002310233,7.98E-05,0.019088318,0
23,0.189366455,0.001514341,0.022043129,0.014230751,0.025246954,0.001589402,6.79E-05,0.019340907,0
24,0.205099632,0.00279039,0.023134503,0.013346691,0.024403403,0.002318574,0.000128677,0.017834906,0
25,0.22692115,0.002106494,0.021660671,0.021995471,0.027116349,0.002403167,0.000157272,0.020282157,0
26,0.246799403,0.001762164,0.023781463,0.023748103,0.030894456,0.00186582,0,0.019983101,0
27,0.270628525,0.00383768,0.022656729,0.017006844,0.02764059,0.001769312,0,0.022578093,0
28,0.273441553,0.00315855,0.029754233,0.022841404,0.035867594,0.001753823,8.58E-05,0.024874029,0
29,0.28048425,0.002863069,0.036706379,0.015817771,0.045903228,0.001886075,0.000100082,0.029445646,0
30,0.301934033,0.002030241,0.043721672,0.013352648,0.034995448,0.001787184,0.000132252,0.029266927,8.34E-05
31,0.298668252,0.002959577,0.038874829,0.015082642,0.038561476,0.002385295,0.000303821,0.0450287,8.70E-05
32,0.279460789,0.002293553,0.027073456,0.019959272,0.029599343,0.001882501,0,0.052419302,0
33,0.264922642,0.002207768,0.036482385,0.015411484,0.022293335,0.002540184,0,0.045384945,0
34,0.25486437,0.003467137,0.051717534,0.016705406,0.028504395,0.002960768,0.000104848,0.062365577,0
35,0.215242498,0.000959122,0.042081037,0.020581212,0.022898594,0.002257809,0.000559984,0.054086149,0
36,0.184697138,0.002774901,0.047875088,0.027012692,0.026586151,0.003280079,0.000104848,0.052567042,0
37,0.140016344,0.002914302,0.031925066,0.011337896,0.01886075,0.001022269,0,0.046716993,0
38,0.114416719,0.0016037,0.028238701,0.011347428,0.013185844,0.002019518,0,0.025405418,0
39,0.089596306,0.000997249,0.021240088,0.00817458,0.008334235,0.001217668,0.000119146,0.015593777,0
40,0.064542367,0.000335991,0.019278951,0.01268305,0.00998321,0.000601685,0,0.014309387,0
41,0.03761546,0.001185499,0.009453013,0.008898985,0.007821909,0.00173476,0,0.010537238,0
42,0.028013515,0,0.00855942,0.005970386,0.009702027,0.000624323,0,0.005630821,0
43,0.021535569,0,0.007540726,0.003034639,0.006578029,0.00043369,0,0.005321043,0
44,0.018377019,0.000223994,0.004712209,0.003129955,0.003888913,0.000611217,0,0.002342403,0
45,0.007003379,8.94E-05,0.003276504,0.003017958,0.004276136,0.000575473,0,0.002183939,0
46,0.00613719,0,0.002863069,0.001876543,0.000819722,1.55E-05,0,0.000683896,0
47,0.003658962,0,0.000700576,0.001042524,0.001852714,0.000142975,0,0,0
48,0.00323242,0,0.000290715,0.000857848,0.000980568,4.17E-05,0,0.001032992,0
49,0.002685542,0,0,0.00153817,0.000356245,0,0,0.000582622,0
50,0.001504809,0,0.000328842,0.000142975,0.000299055,0,0,0.000202548,0
