Divergence,DNA/TIRS,DNA/Crypton,RC/Helitron,Maverick,LTR,DIRS,PLE,LINE,SINE
0,0.007164162,3.13E-05,0.000609763,6.48E-05,0.026000233,0.002098237,0,0.006557485,0
1,0.014201786,8.51E-05,0.000406068,0.001963322,0.00202637,0.001155154,0,0.011573148,0
2,0.052949722,0.000248667,0.001559899,0.003323494,0.00430758,8.69E-05,0,0.015657192,0
3,0.073262804,0.000447071,0.014159901,0.002637897,0.004213227,0.002927126,1.23E-05,0.016531935,0
4,0.146021219,0.000448835,0.006151418,0.005907601,0.005859984,0.002058997,0,0.026441132,0
5,0.144354622,0.000854021,0.01458669,0.005482575,0.027189778,0.001003044,0,0.030413188,0
6,0.198155278,0.000872098,0.01526347,0.009824985,0.059641681,0.00256118,0,0.048548671,0
7,0.215452614,0.001968612,0.014487047,0.013772351,0.15652607,0.003985283,0,0.071295955,0
8,0.223146295,0.003063805,0.019069307,0.012533426,0.197090949,0.00372383,0,0.11718248,0
9,0.239672498,0.003124649,0.032153415,0.011037016,0.122344081,0.00243376,0,0.227284569,0
10,0.239167229,0.002516209,0.025396643,0.011380035,0.128715507,0.004469389,0,0.327233204,0
11,0.268208781,0.001435125,0.034990598,0.016448165,0.142004192,0.003889608,0,0.446152825,0
12,0.27983616,0.003092463,0.024464143,0.021388875,0.152767409,0.003065568,3.09E-05,0.582850801,0
13,0.294933411,0.004211023,0.024780267,0.014867984,0.166651748,0.00735948,0.000152551,0.710859548,0
14,0.343273096,0.002655092,0.024018394,0.011148122,0.202225214,0.005919064,1.81E-05,0.996676497,0
15,0.361479124,0.004772287,0.03002167,0.013222109,0.283136727,0.006163763,0,0.986768623,0
16,0.397152232,0.003829205,0.04200794,0.017439746,0.286441703,0.009051208,0,1.117345604,0
17,0.452411381,0.005595885,0.030077223,0.017617869,0.313978468,0.010084674,2.91E-05,1.206303517,0
18,0.470713083,0.006212262,0.045942961,0.024110542,0.316540089,0.009922865,3.57E-05,1.272869952,0
19,0.513050375,0.006968844,0.035216779,0.014187677,0.292533599,0.007978943,7.89E-05,1.386708657,0
20,0.547653422,0.005516965,0.03712587,0.017186229,0.283914031,0.007691477,2.95E-05,1.409846577,0
21,0.547357139,0.006867878,0.052025157,0.017711339,0.274708508,0.006236511,2.16E-05,1.319422676,0
22,0.556472718,0.004109616,0.06078449,0.020273401,0.285212037,0.010365968,3.57E-05,1.30829704,0
23,0.546839083,0.005586627,0.054708025,0.026550475,0.240958159,0.013387005,0,1.319076129,2.07E-05
24,0.550395371,0.003696494,0.063149912,0.032410018,0.246551399,0.013287362,0.000175919,1.320457465,0
25,0.561820377,0.003469872,0.058053564,0.020668005,0.215123262,0.011285241,2.47E-05,1.367278255,2.29E-05
26,0.57177146,0.005404535,0.062174203,0.023480498,0.235021018,0.011732754,0.000214718,1.375761144,0
27,0.556028733,0.00316477,0.063099208,0.022153393,0.215373693,0.012080182,0,1.376466582,0
28,0.520901016,0.002145854,0.052161836,0.030095741,0.213074847,0.023036072,8.86E-05,1.352207457,3.53E-05
29,0.529177124,0.00427319,0.056688101,0.033591185,0.209479319,0.017155366,0,1.381492386,0
30,0.491788038,0.001866324,0.054231855,0.027692843,0.211774196,0.009367773,0,1.356111174,0
31,0.462000044,0.002532963,0.045721629,0.023342496,0.201543143,0.012101345,0.000125656,1.287039553,0
32,0.428588305,0.0024827,0.038139496,0.014798322,0.168542321,0.013141866,0,1.142157616,0
33,0.395114399,0.002978711,0.040806491,0.01391432,0.160103081,0.015454379,0.00049072,1.050096217,0
34,0.366934803,0.001757863,0.046724233,0.010975731,0.141844586,0.009996495,0.000160928,0.89759996,0
35,0.312483381,0.001237602,0.033037417,0.01257972,0.135671124,0.012042264,0.00028923,0.804677046,0
36,0.260767735,0.000803317,0.031879617,0.008140312,0.12116644,0.010066598,0,0.627672557,0
37,0.21931709,0.001853538,0.022721711,0.009232417,0.119373747,0.013898889,0,0.479552219,0
38,0.190260988,0.000923242,0.029138991,0.008089608,0.111308388,0.020389357,0,0.370455379,0
39,0.150399784,0.000630044,0.019888937,0.010725741,0.112610802,0.012812955,0,0.276631267,0
40,0.10999451,0.000522906,0.015571658,0.008676444,0.092349746,0.006611716,0,0.205408061,0
41,0.086476977,0.000875625,0.014679279,0.004923074,0.080866982,0.012079741,0,0.157264134,0
42,0.065767086,0.000213395,0.005352069,0.002867164,0.067676177,0.014047471,0,0.093512837,0
43,0.045563788,6.88E-05,0.003666072,0.002809406,0.053858855,0.013755597,0,0.06647076,0
44,0.033749027,0.000244699,0.003557611,0.0028751,0.048948567,0.009112493,0,0.043128264,0
45,0.023881275,0.000261894,0.002306341,0.00230105,0.036595469,0.00451392,0,0.03026681,0
46,0.016049151,0,0.00162912,0.001577976,0.024194313,0.003739261,0,0.021404747,0
47,0.011734076,4.01E-05,0.000639744,0.000972181,0.017655345,0.003783792,0,0.011929394,0
48,0.008726707,7.32E-05,0.000360655,0.000881356,0.016409806,0.000909133,0,0.011959816,0
49,0.004383414,0,0.000789209,0.001023326,0.011360194,9.30E-05,0,0.005374995,0
50,0.004332711,0,0.000709406,0.000828008,0.006122318,0.000434726,0,0.00693269,0
