Divergence,DNA/TIRS,DNA/Crypton,RC/Helitron,Maverick,LTR,DIRS,PLE,LINE,SINE
0,0.017841714,0,0.000715696,0.000236518,0.007628458,5.84E-05,0,0.001804598,0
1,0.013185084,0,0.000115187,0.000462284,0.005441439,0,0,0.003206809,0
2,0.029510935,0,0.000420817,0.001701697,0.015677732,0,0,0.007745181,0
3,0.050972596,4.45E-05,0.000758699,0.00591601,0.068285985,4.61E-05,0,0.020228391,0
4,0.064323549,0.000221159,0.000540611,0.014879102,0.156966231,3.69E-05,0,0.041713089,0
5,0.127017585,0.000155119,0.00540765,0.019114916,0.243818841,0,0,0.065369448,0
6,0.137226233,0.00055597,0.007806614,0.027681764,0.216418134,7.22E-05,7.83E-05,0.052898524,0
7,0.18601949,0.000706481,0.005066697,0.047844114,0.132474382,0.000672693,0,0.040920602,0
8,0.21003984,0.001380709,0.009947558,0.05135041,0.147832662,0.00017662,0,0.04354226,0
9,0.211360652,0.000970643,0.006499624,0.0331831,0.158411445,0.000410066,5.22E-05,0.049028238,0
10,0.247736739,0.001265522,0.011050283,0.050706898,0.147712867,0.001293167,0,0.049261684,5.22E-05
11,0.251364364,0.001170301,0.008224359,0.065338731,0.144610495,0.000979858,0,0.044829284,0
12,0.270886274,0.004023869,0.012389525,0.061345579,0.153323247,0.001070472,0,0.05081287,5.53E-05
13,0.277877363,0.001996576,0.012255908,0.080114933,0.154111127,0.001115011,0.000132081,0.043712737,0
14,0.296107642,0.004745709,0.01576681,0.074959158,0.165953897,0.000812453,0,0.042156943,0
15,0.330209167,0.001846065,0.015006576,0.093610254,0.123469822,0.002070296,0.000142832,0.04843848,0
16,0.301576726,0.00358923,0.019357576,0.066562786,0.171315472,0.001357672,0,0.054770699,0
17,0.352251371,0.002646232,0.01575606,0.099229848,0.179280276,0.000840098,9.98E-05,0.05357736,0
18,0.369288311,0.00407148,0.022048347,0.075261716,0.150340669,0.002256131,0,0.072870432,0
19,0.416668606,0.001919785,0.032111092,0.087588272,0.177097865,0.003595373,0.000144368,0.069854066,0
20,0.431162215,0.003976259,0.042934072,0.07791102,0.15979369,0.002375926,0,0.112950936,0
21,0.466277386,0.001437535,0.032467404,0.065347946,0.155504123,0.002299135,0.000109044,0.145198717,0
22,0.43939886,0.002398963,0.045661703,0.063359049,0.163398279,0.002836674,0,0.17315693,0
23,0.418480883,0.002742989,0.058591839,0.091010097,0.161010066,0.003208345,0,0.135354059,0
24,0.432790192,0.005390756,0.0389701,0.084579585,0.158694038,0.003286672,0.000185835,0.11648334,0
25,0.438254668,0.002196234,0.056888606,0.089862833,0.175224154,0.004043835,7.22E-05,0.111611694,7.37E-05
26,0.47116132,0.001392996,0.068649977,0.072488011,0.130242823,0.004212776,0,0.083283346,0
27,0.392960029,0.000354776,0.053299376,0.080569538,0.118836229,0.004707313,0.000116723,0.082742735,0
28,0.433654864,0.001113475,0.054795272,0.080282338,0.148184366,0.003280529,0,0.099248278,0
29,0.395372814,0.001194874,0.053921386,0.082917819,0.110854531,0.00217934,9.37E-05,0.093223225,0
30,0.399001976,0.000112115,0.056804135,0.075012912,0.114526695,0.002180876,0.001276273,0.073950119,0
31,0.352374237,0.00042696,0.077680645,0.087348683,0.118794761,0.002145552,0,0.076686965,0
32,0.349052241,0.00075102,0.057702594,0.087474621,0.102428978,0.003636841,0.000175084,0.078497706,0
33,0.315173411,0.000138225,0.041577936,0.087744926,0.137250807,0.001670981,0,0.066269443,0
34,0.287109226,0.000388564,0.064001025,0.070410036,0.157486877,0.002296063,0,0.086585376,0
35,0.248418646,0.000826275,0.061571345,0.069566866,0.133010386,0.000430032,0,0.075685605,0
36,0.20734139,0,0.051356553,0.074865473,0.15922697,0.001422177,0,0.081878063,0
37,0.162399991,0,0.041505752,0.058309247,0.103969414,0.001787704,0,0.070141266,0
38,0.131208859,0.001692482,0.027313165,0.049665606,0.093424418,0.000959893,0,0.08524767,0
39,0.095530039,0,0.009672645,0.035476091,0.083555188,0.00036092,0,0.064627643,0
40,0.065068426,0,0.01548729,0.039742622,0.066143505,0.000858528,3.23E-05,0.048361688,0
41,0.044752493,7.68E-05,0.012369559,0.02563297,0.07117795,0.000380885,0,0.042307454,0
42,0.033636169,0,0.005582735,0.025256692,0.050100246,0.0008616,0,0.032739246,0
43,0.023505848,0,0.002729166,0.016891037,0.026321021,7.68E-06,0,0.013630474,0
44,0.01614616,0,0.003495545,0.00862521,0.025396452,7.37E-05,0,0.018787784,0
45,0.007290576,0,0.004195882,0.011517174,0.014558114,4.91E-05,0,0.013919209,0
46,0.006485802,0,0.002351353,0.005043659,0.020478731,0.00021348,0,0.007179996,0
47,0.006969588,0,0.000867743,0.004570624,0.00804006,0.000486857,0,0.004601341,0
48,0.004080695,0,0.000752556,0.003139232,0.005693314,0,0,0.002256131,0
49,0.001827635,0,0,0.001833779,0.006243141,0,0,0.001783096,0
50,0.000986002,0,0,0.001273201,0.001927464,3.07E-06,0,0.001498968,0
