Divergence,DNA/TIRS,DNA/Crypton,RC/Helitron,Maverick,LTR,DIRS,PLE,LINE,SINE
0,0.911178677,0.009825227,0.000562664,0.011829359,0.157819305,6.77E-05,0,0.029899116,0
1,0.982820319,0.007111538,0.002646629,0.025306474,0.31997451,0,0,0.210221793,0
2,0.694410564,0.005180214,0.011644146,0.01386734,0.536979567,4.85E-05,0,0.195520996,0
3,0.434267497,0.003469869,0.009209554,0.027152855,0.487875785,7.60E-05,0,0.088120484,0
4,0.422298271,0.001474678,0.005856561,0.025896601,0.446928398,0,0,0.089178113,0
5,0.441831849,0.001170673,0.013048571,0.033984658,0.476156916,6.90E-05,0,0.101536926,0
6,0.442071349,0.000848148,0.015220671,0.039825252,0.307917147,0.000135397,1.98E-05,0.060336627,0
7,0.420649876,0.000666767,0.022472077,0.046985968,0.211110816,0.000203096,0,0.072700549,0
8,0.41051298,0.000683372,0.048595404,0.045243689,0.184013524,0.000390224,0,0.081416414,0
9,0.351913523,0.00187576,0.035406966,0.034410648,0.148006852,0.000224172,2.11E-05,0.056235118,0
10,0.291559652,0.001608798,0.026822665,0.035160441,0.11559331,0.000194793,0,0.053271711,0
11,0.287795358,0.002759034,0.024376577,0.04440065,0.07960963,0.000340409,0,0.071574582,0
12,0.289687724,0.001647118,0.01935092,0.049506141,0.084343417,0.000657825,0,0.05731127,0
13,0.313340054,0.001354609,0.019525914,0.040348319,0.073360929,0.000890938,3.70E-05,0.072939409,0
14,0.283718119,0.0020003,0.01892493,0.043411358,0.059638566,0.001214741,0.000127733,0.074694462,0
15,0.283578251,0.002168907,0.026067124,0.050628276,0.054637178,0.001190472,0,0.061601823,3.26E-05
16,0.301282054,0.000968855,0.039813756,0.048643943,0.047687222,0.00169885,3.07E-05,0.096895106,0
17,0.310031768,0.001940904,0.038151949,0.042724793,0.05016205,0.001801036,0,0.081956725,0
18,0.309846555,0.003080283,0.050878633,0.033066257,0.066456318,0.002779471,6.51E-05,0.116126596,0
19,0.321472818,0.001141295,0.033283404,0.036389872,0.060274677,0.002734126,3.38E-05,0.183120031,0
20,0.358607374,0.001610714,0.049234069,0.042216415,0.063521012,0.002415432,0.000201818,0.232891218,0
21,0.396337804,0.001362912,0.090655985,0.036638312,0.083069918,0.002819069,1.60E-05,0.228212356,0
22,0.408309585,0.001578142,0.08253791,0.040462002,0.083731576,0.003356186,0.000182658,0.166000608,0
23,0.480817257,0.00131118,0.087460104,0.032543829,0.108868165,0.005052481,4.15E-05,0.126480638,3.00E-05
24,0.462149708,0.000670599,0.10693237,0.040336823,0.114117355,0.002806295,7.28E-05,0.127319844,0
25,0.476381726,0.001614546,0.112741031,0.033992961,0.116620284,0.002303027,0.000137313,0.121902685,0
26,0.472376017,0.000401082,0.097702379,0.035785056,0.140549796,0.002854195,0,0.126906627,0
27,0.464728,0.000621421,0.085938803,0.039518693,0.109558562,0.003972498,0,0.107097784,0
28,0.466765343,0.000655271,0.073967022,0.033351741,0.098441315,0.00321057,0.000310391,0.090209558,0
29,0.473303359,0.000528176,0.057214192,0.035276039,0.127162732,0.004887067,0.000346157,0.081464314,0
30,0.403361845,0.000314223,0.074175865,0.034266948,0.127609798,0.004906227,0.00142103,0.084688296,0
31,0.401056902,0.000307837,0.055948358,0.031309928,0.106847428,0.021028694,0.00111958,0.090683448,0
32,0.382591172,0.000334661,0.054651867,0.034316125,0.08734706,0.006157372,0.000662935,0.081175637,0
33,0.363205125,0.00019607,0.042876156,0.030949721,0.078978629,0.010374479,0.001454241,0.087608274,0
34,0.346318815,0.000113044,0.03948165,0.027672729,0.100790965,0.004102147,0,0.078401275,0
35,0.337558881,0.000220978,0.03752925,0.030171188,0.077742811,0.004629685,0.000283567,0.063884413,0
36,0.279133141,8.75E-05,0.022694333,0.025835927,0.06810599,0.006027723,0,0.067642958,0
37,0.218717958,4.28E-05,0.031735918,0.026737084,0.066392451,0.003746411,0,0.069325841,0
38,0.190459573,0,0.026772849,0.024750196,0.058248192,0.002027762,0,0.070909731,0
39,0.136082332,0.000125178,0.019775632,0.023851594,0.044007871,0.001518107,8.17E-05,0.051874312,0
40,0.103990678,9.26E-05,0.015638359,0.020026628,0.033355573,0.001907055,0,0.04543465,0
41,0.080103957,1.41E-05,0.019260868,0.014403819,0.034837276,0.000995679,0,0.032609612,0
42,0.051074064,1.09E-05,0.015331161,0.017806627,0.024934771,0.001007175,0,0.027705301,0
43,0.038633503,0,0.005381394,0.013728749,0.023914822,0.00036851,0,0.018870644,0
44,0.026410088,0,0.003775151,0.00834033,0.013222926,0.000203096,7.03E-05,0.01012029,0
45,0.018643917,0,0.002916146,0.006827971,0.008707563,0.000184574,0,0.007223305,0
46,0.007481325,0,0.002340708,0.002842699,0.007181791,3.64E-05,0,0.006087758,0
47,0.004017205,0,0.003076451,0.002793522,0.00451728,5.11E-05,0,0.003216957,0
48,0.001958148,0,0.001755052,0.002613418,0.003816664,2.94E-05,0,0.002142722,0
49,0.002617889,0,0.000429822,0.002073108,0.002394995,0,0,0.002055225,0
50,0.001352054,0,0.000261214,0.00017244,0.003369598,9.39E-05,0,0.001739086,0
