Divergence,DNA/TIRS,DNA/Crypton,RC/Helitron,Maverick,LTR,DIRS,PLE,LINE,SINE
0,0.017045102,0.001083672,0.000994076,0.000524632,0.042177378,0.000122641,0,0.002210951,0
1,0.013026213,0.000764124,0.001174631,0.000790015,0.002482124,9.20E-06,0,0.00353684,0
2,0.034955507,0.002173818,0.002729451,0.002062759,0.011927551,0.000151258,0,0.009034238,0
3,0.074593528,0.003166531,0.013610122,0.00938104,0.016618923,0.000379166,3.03E-05,0.009996972,0
4,0.083866575,0.0046447,0.017630374,0.014145316,0.022020933,0.000609119,0,0.014352103,0
5,0.123081484,0.005382592,0.017573141,0.015750554,0.021850258,0.000832939,1.57E-05,0.020710715,0
6,0.163787166,0.005969226,0.019189281,0.026190058,0.033472228,0.001148059,0.000164203,0.029317071,0
7,0.202681503,0.005125045,0.017466852,0.025016448,0.043744462,0.001517687,0.000179533,0.058169808,0
8,0.224692557,0.005278006,0.020444652,0.030720292,0.044556279,0.001740144,0.000327725,0.086052998,0
9,0.254725036,0.006803869,0.021783146,0.035779929,0.0562038,0.002176543,0.000282075,0.137709189,0
10,0.311518195,0.006666579,0.020001099,0.040426332,0.081832432,0.00637258,0.000549501,0.161399407,0
11,0.352155743,0.009782691,0.031647938,0.038787367,0.120872918,0.004652535,0.001202907,0.138664769,0
12,0.406592145,0.010637092,0.0302161,0.035561559,0.148243739,0.005791396,0.001463861,0.131189439,0
13,0.480304699,0.012509076,0.031859494,0.032850504,0.149249057,0.005408483,0.000703825,0.117130653,0
14,0.530125358,0.014434545,0.037617505,0.036422774,0.158153159,0.006857695,0.000658516,0.104703339,0
15,0.576394868,0.015887504,0.039705814,0.025516893,0.182518927,0.008581146,0.000583909,0.117778608,0
16,0.657227774,0.013306585,0.03913451,0.035848404,0.172025938,0.009767701,0.000651021,0.13471674,0
17,0.70770763,0.015003464,0.046687513,0.036778774,0.197389189,0.009561596,0.000410848,0.144700767,0
18,0.770484324,0.016459149,0.062407407,0.033034807,0.195779521,0.010695347,0.000559721,0.172465403,0
19,0.778714579,0.013088897,0.055260143,0.030100613,0.224870728,0.010029336,0.000424135,0.192949913,0
20,0.830857929,0.01513326,0.061599337,0.02887931,0.24974682,0.01409183,0.000907887,0.24888799,0
21,0.855649875,0.015117248,0.05517259,0.027792571,0.275128126,0.010518879,0.00163113,0.263639358,0
22,0.853467881,0.014926473,0.067351216,0.022166059,0.298707286,0.015000739,0.001376308,0.300118683,0
23,0.86981018,0.013540966,0.065958215,0.019865171,0.327333477,0.010011281,0.002667449,0.287762909,0
24,0.851240919,0.010881012,0.06855753,0.020080475,0.364046162,0.010160153,0.001612052,0.304948367,0
25,0.837278884,0.011411436,0.071226341,0.020490301,0.401277346,0.007568674,0.001861764,0.362125462,0
26,0.80774685,0.013305563,0.067238113,0.018124346,0.377672977,0.011321839,0.001554479,0.398014405,0
27,0.753375516,0.011735754,0.075652331,0.016273143,0.377526148,0.007944093,0.000841797,0.438413825,0
28,0.715172399,0.012158867,0.058357177,0.018916064,0.391937527,0.008731723,0.000484433,0.470202459,0
29,0.694905577,0.007918542,0.058934613,0.019682913,0.40255486,0.009072393,0.001203588,0.479049669,0
30,0.638278665,0.009319379,0.042806256,0.01566675,0.383205464,0.01225698,0.000531446,0.481073592,0
31,0.617259302,0.008324962,0.041767892,0.015796204,0.383102581,0.01573284,0.001210061,0.464466592,0
32,0.584249024,0.005448682,0.029354885,0.015053202,0.344653159,0.01141859,0.000744365,0.477255358,0
33,0.520771571,0.005590742,0.031489867,0.013924221,0.329263375,0.020474971,0.000904139,0.42390331,0
34,0.485741457,0.005524311,0.025736966,0.01588546,0.293503205,0.007815319,0.001704715,0.399763748,0
35,0.450916768,0.004056022,0.019815093,0.019536765,0.295686221,0.014209362,0.001080606,0.388873197,0
36,0.39467788,0.003570566,0.01836043,0.021052067,0.265608092,0.011873385,0.000929349,0.347894297,0
37,0.351934648,0.001873687,0.012837823,0.020773399,0.226160847,0.008490187,0.000747771,0.292592593,0
38,0.295995209,0.001281602,0.015383312,0.01236395,0.202742483,0.008093988,0.000454795,0.233499227,0
39,0.229468756,0.001678483,0.011304465,0.012809888,0.167254849,0.007649072,0.000296043,0.191056467,0
40,0.170106601,0.000859511,0.009131329,0.010312774,0.134089566,0.00652486,0.000272877,0.15878885,0
41,0.126111747,0.001211083,0.005177168,0.007855518,0.106812429,0.002152015,0.000102542,0.129108965,0
42,0.087141099,0.000912656,0.004081913,0.008634972,0.083185916,0.004706021,0,0.116441137,0
43,0.061557775,0.000184643,0.002674262,0.004958117,0.068624642,0.002757386,5.55E-05,0.085358712,0
44,0.042160004,0.000361111,0.002797585,0.004053637,0.045652216,0.001886292,5.93E-05,0.049738216,0
45,0.028623466,5.14E-05,0.001812707,0.003143366,0.029177396,0.001324867,1.94E-05,0.039233986,0
46,0.017169106,0,0.000646933,0.001532335,0.021951437,0.004946534,0,0.022836158,0
47,0.009936674,0,0.000774344,0.002960085,0.01600231,0.001548688,0,0.020345176,0
48,0.008575355,0,9.16E-05,0.000930711,0.011514659,0.000298768,4.84E-05,0.00999595,0
49,0.00459905,0,0.000281734,0.000923557,0.007787725,0.000105608,0,0.007588773,0
50,0.003014592,0,0.000165906,0.000157049,0.004152091,9.27E-05,0,0.005806386,0
