Divergence,DNA/TIRS,DNA/Crypton,RC/Helitron,Maverick,LTR,DIRS,PLE,LINE,SINE
0,0.009030493,0.000297951,0.000539726,0.001076147,0.014782427,6.00E-05,0,0.00284072,0
1,0.015633321,0.000254993,0.001640105,0.000763326,0.002715151,0.000368445,0,0.006190324,0
2,0.043486474,0.001002348,0.004762254,0.003884924,0.004370126,0.000291892,7.66E-05,0.013980549,0
3,0.104579023,0.003369431,0.011894895,0.009955737,0.007069857,0.000590394,0,0.016907184,0
4,0.117314347,0.002851184,0.008129481,0.023006636,0.009322385,0.000375054,0,0.052058751,0
5,0.14301025,0.006356648,0.011231803,0.026100146,0.018022985,0.000763877,0,0.062778365,0
6,0.181795602,0.005708977,0.009542682,0.027644422,0.03567422,0.000958289,9.47E-05,0.121371653,0
7,0.225469329,0.005183019,0.007597466,0.025439808,0.055793323,0.000665845,1.65E-05,0.187195063,1.49E-05
8,0.25799937,0.004278703,0.013550971,0.024663814,0.071518067,0.001681411,1.43E-05,0.161316866,0
9,0.287845653,0.01009893,0.018225106,0.030164611,0.087297335,0.002707441,0.000482999,0.16453319,0
10,0.327701646,0.006428244,0.02490614,0.033308789,0.114262143,0.003328125,0.000866866,0.157933116,0
11,0.336488711,0.006899127,0.029382009,0.040293281,0.11319591,0.004460448,0.000415809,0.17190265,0
12,0.417228378,0.007758282,0.028967301,0.047528359,0.118753983,0.0083663,0.002001391,0.183792588,0
13,0.460263796,0.009509086,0.040239308,0.062122433,0.123013961,0.003126003,0.001095974,0.237460603,0
14,0.499238053,0.009759673,0.044782367,0.041848572,0.128445916,0.004574451,0.000473637,0.294228186,0
15,0.56138527,0.013025565,0.037447053,0.042979242,0.132975206,0.005541001,7.71E-05,0.374433084,0
16,0.63019149,0.007995651,0.041858485,0.044875442,0.144949407,0.004875706,0.001778892,0.373693439,0
17,0.650707127,0.011010405,0.049316614,0.039843876,0.1608592,0.004179019,0.000132178,0.386275107,0
18,0.679614397,0.008785413,0.059549373,0.045277483,0.173120888,0.0070649,0.000156961,0.433135418,2.70E-05
19,0.755156175,0.007671816,0.056857904,0.039552535,0.173751486,0.004979245,0.000155309,0.4910177,0
20,0.778531807,0.016561319,0.071666216,0.043688596,0.204767542,0.006389692,1.87E-05,0.521399853,0
21,0.795545835,0.009554247,0.077807524,0.033672828,0.215507533,0.006350039,0.000134931,0.518010596,0
22,0.802361249,0.010352821,0.063674971,0.040465112,0.244794815,0.00634398,0.000395982,0.51426556,0
23,0.787308959,0.010687671,0.065158115,0.037249888,0.251627853,0.010266905,0.0003343,0.513548496,0
24,0.786051619,0.009271717,0.064892108,0.027500128,0.262930701,0.008103046,3.63E-05,0.504878187,0
25,0.753658161,0.012405431,0.054521112,0.032195742,0.306477206,0.010777442,0.000184498,0.52666989,0
26,0.743548767,0.011587581,0.064989589,0.030471924,0.324746372,0.006829734,0.000227456,0.569849601,0
27,0.6956426,0.010958085,0.063005821,0.0309373,0.31750854,0.007264268,0.000437288,0.606685333,0
28,0.697701819,0.007909736,0.055242582,0.02550865,0.349769269,0.009939766,0.000328792,0.654237925,0
29,0.639708287,0.005024957,0.058919877,0.020462765,0.33850332,0.010127568,0.00051329,0.679726198,0
30,0.589202625,0.007150815,0.045090231,0.028515694,0.318400739,0.006893069,0.000622337,0.723006144,0
31,0.603925021,0.005916606,0.04650288,0.022088551,0.365478593,0.004687904,0.000952781,0.72791159,0
32,0.587379673,0.008784863,0.037954285,0.017716773,0.357541871,0.005352097,0.000969303,0.759145739,0
33,0.535809429,0.004520478,0.036806542,0.022549521,0.342658107,0.007142004,0.001310212,0.78666955,0
34,0.550424431,0.003009246,0.029527404,0.014480621,0.342750632,0.009209484,0.001175831,0.761451139,0
35,0.506252285,0.00393394,0.020018868,0.020810283,0.298138443,0.004825038,0.001061277,0.696718747,0
36,0.457122923,0.002747645,0.015273688,0.018112205,0.26556985,0.000934056,0.001077799,0.663918842,0
37,0.401416066,0.003289573,0.015469751,0.017992143,0.24769887,0.003823792,0.000536972,0.617344916,0
38,0.350036378,0.001334995,0.012304095,0.014374329,0.20107042,0.005267283,0.000804632,0.519433159,0
39,0.281096328,0.002440882,0.009288239,0.011122756,0.188929896,0.007814458,0.000370098,0.520034017,0
40,0.218001837,0.001886286,0.005683092,0.010435983,0.133193299,0.003345749,0.000636105,0.459990629,0
41,0.167114511,0.000473086,0.006793936,0.00909548,0.114399278,0.002696977,0.000396533,0.351641236,0
42,0.123249678,0.000437839,0.005719991,0.00813609,0.100342726,0.001997536,0.00103374,0.270538081,0
43,0.072354091,0.000216992,0.00262538,0.007685034,0.074439195,0.000836024,0.000144294,0.191331124,0
44,0.058404935,0.000270414,0.000976463,0.005992608,0.06519887,0.001277718,0.000207629,0.140156863,0
45,0.038172379,0,0.000586539,0.004845415,0.041099565,0.000749007,0,0.092457774,0
46,0.023843762,0,0.000643816,0.002999884,0.029714656,0.000337604,0,0.055362644,0
47,0.013488187,0,0.000175686,0.002024522,0.02513635,7.55E-05,0,0.046833875,0
48,0.010271311,0,0.00031998,0.002038291,0.015343081,0,0,0.018821559,0
49,0.005186324,0,0.000343111,0.001490304,0.010926693,8.70E-05,0,0.011967042,0
50,0.003030725,0,0.000402591,0.00115986,0.010182642,0,0,0.009206179,0
