Divergence,DNA/TIRS,DNA/Crypton,RC/Helitron,Maverick,LTR,DIRS,PLE,LINE,SINE
0,0.043770318,0.000639013,0.000549387,0.00064517,0.001913617,5.13E-05,0,0.00076832,0
1,0.065893567,0.002587523,0.000400922,0.000108783,0.005396031,0,0,0.000872314,0
2,0.106659704,0.003714347,0.000693746,0.001230134,0.007185814,2.81E-05,0,0.001834938,0
3,0.174753555,0.006803364,0.001905407,0.003823814,0.012196659,0.000138202,0,0.002660044,0
4,0.237391168,0.011436549,0.004902746,0.008933863,0.034159129,0.000109467,0,0.004462142,0
5,0.298588607,0.005043001,0.006872465,0.012191186,0.086934463,6.70E-05,0,0.035277743,0
6,0.329162697,0.004715968,0.014661031,0.025481145,0.149729434,0.000250405,0,0.078796971,0
7,0.375978929,0.008715613,0.016723797,0.035812078,0.157309329,0.000129308,0,0.106188997,0
8,0.337174301,0.005212674,0.022128723,0.057029489,0.208625333,8.89E-05,0,0.127397514,0
9,0.286877023,0.005801743,0.016803161,0.080716746,0.177993773,0.000306507,0,0.1442903,0
10,0.295718523,0.005194202,0.035303742,0.088106442,0.16837027,0.000336611,0,0.173621941,0
11,0.308041069,0.005332404,0.031079006,0.117701488,0.183127084,0.000326348,3.90E-05,0.234302834,0
12,0.345536884,0.006177351,0.029995284,0.141383271,0.186836642,0.000371503,0,0.24587348,0
13,0.339110496,0.007939083,0.029744194,0.146373591,0.178215444,0.000484391,5.68E-05,0.228397782,0
14,0.352234887,0.006682267,0.022156774,0.144108312,0.163908127,0.000399554,5.40E-05,0.258904823,0
15,0.38602046,0.007094136,0.028276654,0.178799039,0.120971126,0.00049739,0,0.215051721,0
16,0.426322047,0.005831162,0.032317349,0.175258471,0.095444826,0.000533651,0,0.180241949,0
17,0.426220106,0.00588179,0.032416554,0.179701456,0.089993377,0.001464803,6.77E-05,0.147378634,0
18,0.491320039,0.004948586,0.04073535,0.187663117,0.086253716,0.001115878,6.77E-05,0.147146017,3.42E-05
19,0.535006204,0.008901707,0.056877604,0.172325443,0.081530906,0.000968782,6.57E-05,0.140215397,0
20,0.650548458,0.00860341,0.061938393,0.162302385,0.106013166,0.002387746,6.98E-05,0.146635628,0
21,0.661662764,0.010097632,0.053719486,0.154591815,0.097794258,0.001553745,8.42E-05,0.139737164,0
22,0.700735586,0.009764443,0.073259317,0.158285636,0.114504372,0.000827843,4.93E-05,0.14442645,0
23,0.659086872,0.011831313,0.053781745,0.149658281,0.101464818,0.000761479,2.81E-05,0.16098331,0
24,0.678758064,0.013628622,0.076478327,0.128652277,0.092881249,0.001048829,4.17E-05,0.187290929,0
25,0.696673682,0.012956769,0.086498648,0.145638111,0.124730628,0.001072091,0,0.140879724,0
26,0.70195272,0.013031344,0.088627094,0.132469249,0.111613763,0.000972887,0,0.113455543,0
27,0.745521893,0.012926666,0.060401752,0.131939704,0.113870148,0.001063197,3.42E-05,0.135989293,0
28,0.732587017,0.01087211,0.095020642,0.123674273,0.117434663,0.000851789,1.44E-05,0.138615813,0
29,0.708864183,0.009126114,0.092425594,0.111395514,0.102913886,0.001951247,0,0.144835582,0
30,0.700537177,0.007319911,0.095999686,0.113455543,0.131285639,0.002876241,0.000223039,0.128213042,0
31,0.658004519,0.005991257,0.089876384,0.102693584,0.107758478,0.007011351,0.00022646,0.111607606,0
32,0.598698803,0.007320595,0.084546033,0.097534274,0.108271603,0.00381834,0,0.105972116,0
33,0.553306324,0.007557317,0.103035667,0.090872533,0.102699741,0.002119552,0,0.110499254,0
34,0.476284083,0.005704591,0.088090707,0.101436767,0.096938364,0.003788921,0,0.105463095,0
35,0.416026006,0.003968857,0.063789067,0.089842176,0.091539596,0.003875126,0,0.115113281,0
36,0.368499607,0.001644055,0.084847751,0.078007442,0.109364219,0.001120667,7.25E-05,0.120925971,0
37,0.303729444,0.002961078,0.088311693,0.087583054,0.07102551,0.000810739,0,0.109870504,0
38,0.236343707,0.001842464,0.072203647,0.081407071,0.075675114,0.003423576,0,0.082579051,0
39,0.193753578,0.001846569,0.047807592,0.06362213,0.054173773,0.000704009,0,0.077388954,0
40,0.140812676,0.000422132,0.038798471,0.067311163,0.048167464,0.001574954,0,0.072346638,0
41,0.101879424,0.002232439,0.029090814,0.051297532,0.037772219,0.000330453,0,0.05707396,0
42,0.074904057,0.000169674,0.022119144,0.047383408,0.023241179,0.000149833,0,0.046706082,0
43,0.050635941,0.000673221,0.025665186,0.036499667,0.015088636,0.000149149,0,0.031733754,0
44,0.029955602,0.000513126,0.017418912,0.036918378,0.010523185,0.000199777,8.42E-05,0.024674511,0
45,0.026221414,0.000188146,0.006136301,0.025463356,0.006459228,0,0,0.015978738,0
46,0.014893648,0,0.005650542,0.024005395,0.006641901,0,0,0.009368309,0
47,0.009161691,0,0.002665518,0.016041682,0.002736671,0,0,0.00999706,0
48,0.008554834,0,0.001001622,0.008543887,0.00124108,6.16E-06,0,0.005137416,0
49,0.002994602,0,0.001058408,0.007819354,0.001501748,9.30E-05,0,0.004512087,0
50,0.002190705,0,0.002097658,0.004260997,0.001878725,0,0,0.001492854,0
