Divergence,DNA/TIRS,DNA/Crypton,RC/Helitron,Maverick,LTR,DIRS,PLE,LINE,SINE
0,0.034787272,0.000791244,0.000629289,0.000574389,0.017510985,5.42E-05,0,0.001211227,0
1,0.045118733,0.000765166,0.000107055,1.85E-05,0.009663055,0,0,0.001298381,0
2,0.067841769,0.004236208,0.002049822,0.002139034,0.0147557,0,0,0.002536372,0
3,0.130385019,0.003678288,0.008351635,0.002837635,0.022129432,3.91E-05,0,0.004295225,0
4,0.179107925,0.005741835,0.003313891,0.003917789,0.036439757,4.87E-05,0,0.003558195,3.29E-05
5,0.31165531,0.009829813,0.004713836,0.011380733,0.07998561,0.000146857,0,0.008465553,0
6,0.374989118,0.008883477,0.012695584,0.011791109,0.14058472,0.000217541,0,0.015667723,0
7,0.376677974,0.012266679,0.011579059,0.025163333,0.170040533,0.000111858,0,0.065161285,0
8,0.41760785,0.007265991,0.013252131,0.02617349,0.13823089,7.27E-05,0,0.145613543,0
9,0.387713524,0.004396103,0.018420949,0.044727571,0.215240243,0.000356849,0,0.23036034,0
10,0.327510379,0.004890202,0.030294408,0.060907921,0.265041244,0.000278617,6.52E-05,0.295800928,0
11,0.301291597,0.005893496,0.030807035,0.077131505,0.318485535,0.000315674,4.74E-05,0.28929324,0
12,0.33818565,0.008763384,0.029964323,0.09172525,0.297743696,0.000297832,0,0.238829324,0
13,0.358919254,0.006983944,0.034110632,0.087117097,0.283001721,0.000273127,0.000146171,0.209571836,0
14,0.379040725,0.006065058,0.024424245,0.10623047,0.254219803,0.00026695,0.000118721,0.254007752,0
15,0.406404855,0.009075627,0.028672118,0.112330526,0.225046037,0.000589487,8.58E-05,0.221224323,0
16,0.402838425,0.005899672,0.019919714,0.118576067,0.145918924,0.000765853,0.000161268,0.225717188,0
17,0.447209148,0.005603899,0.022442361,0.098467635,0.119233493,0.001542685,9.95E-05,0.184482617,0
18,0.489403092,0.007316088,0.023267917,0.132732673,0.098923303,0.001433572,0.000107055,0.150733638,3.43E-05
19,0.528180209,0.005644388,0.031451422,0.159680937,0.089004964,0.001879633,0.000103623,0.152858947,0
20,0.570361801,0.009895007,0.033632317,0.147979726,0.072518548,0.000789871,7.34E-05,0.123961053,0
21,0.633935109,0.010643017,0.041310744,0.124503189,0.09334205,0.001522098,6.73E-05,0.142583759,0
22,0.69002763,0.012676369,0.043567126,0.154903966,0.092427968,0.000667719,0.000104996,0.161157055,0
23,0.680390652,0.008225366,0.05198121,0.125113263,0.094501809,0.001132995,0,0.183147865,3.43E-05
24,0.668188481,0.011826108,0.04605752,0.133405882,0.111651827,0.000782322,8.65E-05,0.137143873,0
25,0.681710307,0.009490121,0.050971054,0.12197917,0.123421663,0.000927121,0.000155092,0.132250927,0
26,0.704757938,0.009028276,0.047903526,0.092655802,0.131817904,0.001160445,7.48E-05,0.140207283,0
27,0.724909604,0.013063413,0.079355634,0.114173101,0.134956802,0.00067664,3.43E-05,0.136891334,0
28,0.686896281,0.009400908,0.077021019,0.097514437,0.133578816,0.001754736,0.000101565,0.116822018,0
29,0.681131114,0.011339558,0.09391095,0.102924128,0.136623011,0.00070958,0,0.131627127,0
30,0.683133585,0.007549412,0.091456241,0.094347403,0.128934977,0.001367692,0,0.128402449,0
31,0.662352629,0.006107605,0.089827775,0.095355501,0.113149906,0.002169915,0,0.128999485,0
32,0.614593215,0.007399124,0.082476003,0.095449517,0.096010868,0.003009197,5.56E-05,0.108333133,0
33,0.570319254,0.007838322,0.093046277,0.093453222,0.083663211,0.003513589,0.000195581,0.115509226,0
34,0.478551456,0.003670053,0.075758323,0.084287697,0.088639194,0.002933709,0,0.09850332,0
35,0.421030167,0.003291931,0.066983959,0.085482454,0.118554793,0.001248285,5.08E-05,0.091738975,0
36,0.369519723,0.003188307,0.073933591,0.073658405,0.094127804,0.001854928,0,0.094557395,0
37,0.301026019,0.00226599,0.071511136,0.06641506,0.084265051,0.001041724,0,0.099208782,0
38,0.220615622,0.000977217,0.0551654,0.06758923,0.083220582,0.000967609,0,0.097578258,0
39,0.181192746,0.002097173,0.038972011,0.061279182,0.061583189,0.001205051,0,0.073080585,0
40,0.135388451,0.001236618,0.040691748,0.058171852,0.052796473,0.000837909,0,0.065126973,0
41,0.111861819,0.001323086,0.044791392,0.05162642,0.036699159,0.000386357,0,0.051500837,0
42,0.075426866,0.001029372,0.026085651,0.050029522,0.031677197,0.000789185,0,0.041056146,0
43,0.05711503,0.000417239,0.027646864,0.039319939,0.022195312,6.38E-05,0,0.035683512,0
44,0.036220158,0.000102251,0.019029651,0.031047222,0.017507553,0.000235383,0,0.018381147,0
45,0.025000693,0.000413121,0.00785891,0.027421089,0.011877577,0.001491216,0,0.017408734,0
46,0.01670533,0,0.007038157,0.018372912,0.009351498,1.37E-05,0,0.015688997,0
47,0.01192081,0,0.005309499,0.014484632,0.005873595,0.000375378,0,0.007887046,0
48,0.006150153,0,0.002880182,0.009980101,0.003262422,8.23E-06,0,0.005658113,0
49,0.005227149,0,0.000979276,0.007261874,0.002308538,7.21E-05,0,0.004109252,0
50,0.002436866,0,0.001463767,0.005709582,0.00208139,0,0,0.001759539,0
