Divergence,DNA/TIRS,DNA/Crypton,RC/Helitron,Maverick,LTR,DIRS,PLE,LINE,SINE
0,0.036362117,0.005275395,0.000373691,0.000658907,0.056979799,0.000486225,0.000303972,0.004818273,0
1,0.050788351,0.006169459,0.000495797,0.000112017,0.042873189,0.000456087,0.003334245,0.008970396,0
2,0.094733718,0.004281602,0.00338301,0.001005305,0.139019146,0.000832753,0.002200366,0.019954765,0
3,0.156636564,0.004382236,0.010743779,0.001461909,0.250989477,0.001620492,0.001641705,0.046612428,0
4,0.160167291,0.003625928,0.015647294,0.00604994,0.311739171,0.003179284,0.002850866,0.056939572,0
5,0.189197355,0.004366455,0.023223171,0.007367366,0.425754261,0.00332532,0.001039712,0.087651827,0
6,0.211669393,0.004423757,0.024793993,0.013183442,0.453619661,0.003375378,0.001175141,0.158614061,0
7,0.242141446,0.005084475,0.028405305,0.019484967,0.500398173,0.002961071,0.000864702,0.233977675,0
8,0.264327751,0.004552201,0.035126311,0.021548999,0.433622598,0.007596703,0.001177728,0.265737015,0
9,0.276082915,0.007103752,0.025116332,0.02975067,0.436115941,0.011125749,0.000575735,0.290294169,0
10,0.29036363,0.007703546,0.038706579,0.034918188,0.43381714,0.007388838,0.001239687,0.329407811,0
11,0.318147281,0.005718805,0.039542178,0.041801657,0.477278093,0.01048107,0.000845558,0.325745018,0
12,0.345759802,0.008435665,0.041072384,0.041640358,0.509133023,0.011316022,0.000857459,0.358753359,0
13,0.382257865,0.007123025,0.044041087,0.029400521,0.503577069,0.014541872,0.001028071,0.364802394,0
14,0.416765756,0.008213959,0.032808883,0.026529477,0.499255887,0.015434514,0.000573666,0.348199853,5.17E-06
15,0.464280138,0.007325845,0.032268461,0.022714957,0.525376748,0.020160172,0.000582591,0.333508324,0
16,0.52097705,0.008054601,0.036442573,0.022659336,0.532557204,0.019481604,0.000273186,0.353402553,0
17,0.548265551,0.008458171,0.052310408,0.021634629,0.565998866,0.021746645,0.000560472,0.361102736,0
18,0.6077114,0.009380305,0.050308852,0.016247605,0.595674125,0.025834999,0.000611694,0.425834199,8.67E-06
19,0.644766961,0.00929571,0.046546201,0.023030182,0.609959626,0.026458723,0.000551935,0.51814895,0
20,0.67706362,0.010399321,0.041444781,0.022119172,0.545508852,0.021794634,0.000663564,0.531871392,0
21,0.665203424,0.009949184,0.04107898,0.018263648,0.515276095,0.024449276,0.000326996,0.473699378,0
22,0.672015492,0.008855921,0.046181952,0.015373331,0.500133265,0.019641092,0.000211875,0.3933505,0
23,0.65973491,0.008474857,0.046693918,0.015478751,0.490232328,0.020711202,0.00012534,0.355949964,0
24,0.651140017,0.007656592,0.049652532,0.018059147,0.513452654,0.017253687,0.000209029,0.342442243,0
25,0.638956059,0.008889164,0.043444785,0.020270766,0.50132354,0.015922291,0.000167249,0.344201915,0
26,0.631375136,0.006481451,0.048429919,0.018371785,0.468662892,0.015581843,0.000308628,0.351530735,0
27,0.605852646,0.007413285,0.041253861,0.016258083,0.437341011,0.013892149,0.000138921,0.349870791,0
28,0.587142483,0.005880104,0.03822307,0.01540334,0.40449397,0.009690615,0.000234899,0.347097147,0
29,0.571796703,0.005074127,0.034383844,0.013340731,0.37144372,0.009295969,0.000392317,0.363657391,0
30,0.550822663,0.004279661,0.03242575,0.011227417,0.328508832,0.009509913,0.000575088,0.387597806,0
31,0.503152544,0.003942576,0.027933696,0.011593994,0.298863322,0.009282775,0.00027241,0.381090226,0
32,0.458372095,0.004414832,0.021986718,0.012112427,0.267716711,0.008189124,0.000368388,0.337258686,0
33,0.415575869,0.003046572,0.021484971,0.011279804,0.236608904,0.005783221,0.000583755,0.317745003,0
34,0.359210998,0.002953181,0.020102353,0.011757751,0.213882177,0.004794344,0.000130126,0.289063537,0
35,0.303959309,0.002843881,0.015838214,0.011235437,0.183135773,0.008205034,0.000148235,0.295706545,0
36,0.255324371,0.002574963,0.012677815,0.013797465,0.156268306,0.005244868,0.000114216,0.280959266,0
37,0.203970763,0.001750488,0.010382894,0.013172706,0.136600309,0.004084732,7.00E-05,0.265492027,0
38,0.176908365,0.000819818,0.009046324,0.01078737,0.120852122,0.003502917,2.72E-05,0.236322136,0
39,0.125114839,0.000696418,0.007963538,0.009813109,0.098138976,0.003505504,0,0.205662656,0
40,0.098638654,0.000287156,0.005453897,0.007462179,0.079555446,0.004654517,2.60E-05,0.177994773,0
41,0.076530606,0.00034808,0.004152252,0.006487659,0.062010594,0.004049678,3.89E-05,0.148579894,0
42,0.056232935,0.000183159,0.004074125,0.00417657,0.048364986,0.003158459,0,0.113706591,0
43,0.038817949,0.000242919,0.00231704,0.003462301,0.038836317,0.002787484,0,0.0922753,0
44,0.027814695,0.000142026,0.001183032,0.002714014,0.030819357,0.002770927,0,0.061858608,0
45,0.020812353,0.000122106,0.000973227,0.001800805,0.022315396,0.00151352,0,0.043548911,0
46,0.01508126,0.000105161,0.000960938,0.002019018,0.016714169,0.001228951,0,0.029644345,0
47,0.009656854,2.42E-05,0.000638211,0.001524773,0.012109452,0.00159902,0,0.017320302,0
48,0.00690326,0,0.000611953,0.000797311,0.008708075,0.000257147,0,0.012287955,0
49,0.004035449,0,0.000453758,0.000486872,0.006234522,0.000299703,0,0.007164028,0
50,0.00316027,0,0.000360368,0.000286639,0.004870013,0.00039775,0,0.003727597,0
