Divergence,DNA/TIRS,DNA/Crypton,RC/Helitron,Maverick,LTR,DIRS,PLE,LINE,SINE
0,0.046203523,0.000546376,0.001789766,0.001523861,0.091853179,0.000243435,0,0.007104969,0
1,0.039175953,0.001381545,0.001884228,0.004609034,0.051594877,0.000300861,2.62E-05,0.009649592,0
2,0.090070487,0.000981646,0.00968205,0.003118047,0.082231884,0.001552157,0,0.018951717,0
3,0.146626858,0.002854638,0.014382216,0.00360991,0.097236627,0.000773166,0.000274228,0.038757745,0
4,0.151461017,0.001703628,0.016073776,0.008622588,0.160103163,0.001577125,0.001232155,0.059517954,0
5,0.17107729,0.003788429,0.023954408,0.013217057,0.228862488,0.001873408,0.001413587,0.089481666,0
6,0.213051705,0.005565296,0.02397563,0.011822612,0.282126454,0.003555398,0.001627477,0.113635399,0
7,0.24008213,0.005587351,0.028746538,0.020144756,0.320679048,0.00646871,0.000447754,0.118355123,0
8,0.272129395,0.007395843,0.046851018,0.020882551,0.342931492,0.003528765,0.000664973,0.12901757,0
9,0.27875124,0.007566871,0.042691403,0.016117885,0.363796981,0.009701192,0.000680785,0.147237318,0
10,0.345867275,0.009173958,0.03664964,0.020691548,0.38859821,0.007701281,0.00126711,0.14377971,0
11,0.362452888,0.00720484,0.048563385,0.024400497,0.364361667,0.011125182,0.00081145,0.156759159,0
12,0.430204767,0.010310403,0.046575125,0.020818467,0.380137495,0.010956234,0.00097041,0.15029461,0
13,0.462904936,0.008776139,0.042487916,0.021089366,0.376945378,0.015010569,0.001122297,0.164817893,0
14,0.487244678,0.009322515,0.0410065,0.018693718,0.442157211,0.013259502,0.00129291,0.177620903,0
15,0.561863501,0.010027436,0.039349895,0.019189742,0.442171775,0.016812403,0.000984143,0.184794533,0
16,0.606827795,0.008746178,0.050760957,0.017133238,0.417654763,0.021064815,0.000847653,0.211766701,0
17,0.663557275,0.011064427,0.042159591,0.017533969,0.422108164,0.019473958,0.001072362,0.252901369,0
18,0.706815028,0.010361171,0.044357995,0.012630733,0.417611485,0.025743342,0.001401519,0.273738978,0
19,0.75420077,0.01268691,0.052964354,0.014772127,0.423866721,0.020192611,0.00178727,0.292313683,0
20,0.790107206,0.012999006,0.061045144,0.011630777,0.422669521,0.021673194,0.002514245,0.286427137,0
21,0.805795231,0.011915825,0.05203306,0.013180854,0.449556799,0.025119982,0.000534724,0.300136057,0
22,0.819881996,0.008666698,0.057205947,0.013731808,0.460516778,0.022913255,0.001617073,0.281059086,0
23,0.78944265,0.008797778,0.054935969,0.009527666,0.476512738,0.020030321,0.000658731,0.283729379,0
24,0.783329314,0.009619631,0.058909575,0.011925396,0.47635877,0.017588066,0.000477299,0.275606561,0
25,0.74590734,0.009072839,0.060302355,0.011945786,0.477124862,0.014611502,0.000913817,0.284890792,0
26,0.752064785,0.006809102,0.058464734,0.013115522,0.479777678,0.01340057,0.000175606,0.274122232,0
27,0.731101506,0.007798239,0.053621837,0.011355717,0.446097943,0.016103321,0.000561773,0.262398242,0
28,0.683575528,0.007233553,0.054904759,0.010661615,0.421930894,0.011761858,0.000492696,0.285980631,0
29,0.670922741,0.005676402,0.044938494,0.01734255,0.377959481,0.014743831,0.000709498,0.257869521,0
30,0.615974288,0.005135019,0.03948264,0.01267942,0.339730635,0.008407034,0.000684947,0.281291701,0
31,0.589252629,0.006764993,0.032968988,0.009934223,0.309121509,0.007222317,0.00036328,0.262243859,0
32,0.533570959,0.004373089,0.036489431,0.008970471,0.272797281,0.007909345,0.000412799,0.29061921,0
33,0.494852746,0.004852468,0.030981561,0.009231799,0.22889661,0.011993641,0.00044068,0.282900452,0
34,0.437262713,0.002176766,0.026377937,0.008566411,0.201706391,0.006381323,0.000295035,0.287618095,0
35,0.361229056,0.003672746,0.022201677,0.011405236,0.187427375,0.008035848,0.000169364,0.268991374,0
36,0.298706658,0.001116888,0.024420887,0.010773554,0.159860977,0.007001353,0.000183096,0.274899143,0
37,0.227815509,0.000652489,0.016233569,0.008697491,0.157748295,0.004325234,0.00037077,0.267855761,9.65E-05
38,0.175693398,0.000897172,0.01378632,0.008240583,0.13040078,0.005061365,0,0.242700408,0
39,0.140277993,0.001098162,0.008735359,0.006231101,0.119814483,0.007092485,2.58E-05,0.224020838,0
40,0.100987605,0.00052016,0.007878967,0.006566916,0.090893588,0.007751216,0.000110274,0.181569958,0
41,0.079427598,0.000121926,0.005209506,0.004658137,0.076467263,0.002194659,0,0.143828814,0
42,0.052726329,0.000311264,0.00450625,0.002911648,0.068397293,0.005761708,0,0.115031092,0
43,0.038801022,0.000165203,0.001582535,0.003301559,0.047758593,0.003349414,0,0.084295879,0
44,0.02658184,7.32E-05,0.001014936,0.002233359,0.031457611,0.004356444,0,0.054034219,0
45,0.02126414,0,0.001118136,0.001689064,0.023230761,0.003998158,0,0.032120087,0
46,0.012316556,0,0.000309599,0.000899669,0.017283044,0.001812654,0,0.023185403,0
47,0.009601321,4.74E-05,0.000886353,0.001602093,0.013567021,0.000845156,0,0.011858815,0
48,0.005299806,0,0.000270483,0.000313761,0.010972463,0.000495192,6.28E-05,0.009784834,0
49,0.003420156,0,9.70E-05,0.000169364,0.008043754,0.001304145,0,0.004586147,0
50,0.002814274,0,0.000566766,0.000437351,0.002734793,0,0,0.001809741,0
