Divergence,DNA/TIRS,DNA/Crypton,RC/Helitron,Maverick,LTR,DIRS,PLE,LINE,SINE
0,0.003631002,3.71E-05,0.000267895,0.000299492,0.000555023,3.16E-05,0,0.000549527,0
1,0.000391538,0,8.52E-05,0.000109905,0,0,0,0,0
2,0.001883505,5.36E-05,0.000276137,0.000467098,0.000265147,4.95E-05,0,0.00027339,0
3,0.013604923,8.79E-05,0.000620966,0.001316118,0.001806571,3.71E-05,0,0.00066905,0
4,0.00680727,0,9.34E-05,0.000692404,0.000574256,5.77E-05,5.91E-05,0.000725376,0
5,0.00865643,0,0.000458855,0.001493341,0.001843664,0,0,0.000761095,0
6,0.015271365,4.67E-05,0.000520677,0.00355819,0.002294277,4.12E-05,4.26E-05,0.001409538,0
7,0.021105972,6.32E-05,0.000835282,0.00322023,0.003382341,0.000398407,0,0.00196456,0
8,0.02102629,0,0.000774834,0.007395264,0.002574536,0.000156615,0,0.002184371,0
9,0.028737533,5.91E-05,0.001147138,0.00872512,0.003830206,0.000203325,0,0.002071718,0
10,0.038411962,0.000329716,0.002025008,0.0140679,0.004110465,0.00047122,9.89E-05,0.003905766,0
11,0.052797214,0.000116775,0.001814814,0.014301449,0.005857962,0.000699274,0,0.004283566,0
12,0.05784737,0.000278885,0.005863457,0.023390632,0.007925558,0.000770712,6.18E-05,0.005981605,0
13,0.060137525,0.000218437,0.00405139,0.013986845,0.014084386,0.000691031,7.01E-05,0.005713711,0
14,0.079752904,0.000243166,0.003681833,0.012977088,0.009717017,0.000627835,0,0.00609838,0
15,0.077694924,0.000495948,0.004831719,0.015351046,0.012555326,0.000756974,4.95E-05,0.007933801,0
16,0.086914619,0.000309109,0.010215713,0.018553417,0.013459299,0.000494575,0,0.008093164,0
17,0.096271696,0.000309109,0.005831859,0.014414102,0.013223002,0.000355819,0.000108532,0.009211452,0
18,0.118144258,0.000589368,0.014088507,0.021954991,0.014758931,0.001748871,5.77E-05,0.009520561,0
19,0.127123535,0.000589368,0.00750517,0.018781471,0.021187027,0.001136148,7.97E-05,0.008483328,0
20,0.138027531,0.000523425,0.010853165,0.023626928,0.027582151,0.001439762,0,0.010185489,0
21,0.155219495,0.000645695,0.010600383,0.020660854,0.02484001,0.001230941,0,0.009740372,0
22,0.168978286,0.000491827,0.007797793,0.024319333,0.024272623,0.000750105,0,0.017090301,0
23,0.167446478,0,0.01087652,0.024618825,0.022004449,0.001371071,0,0.013045779,0
24,0.18851673,0,0.011845062,0.026825177,0.019795349,0.001344968,6.73E-05,0.011813464,0
25,0.190363142,0.000339333,0.014889443,0.034636709,0.02405556,0.000855889,0,0.016070927,0
26,0.207581208,0.000182718,0.015345551,0.023346669,0.022946888,0.002639105,0,0.01688148,0
27,0.212787979,7.14E-05,0.021612911,0.034410029,0.021916524,0.001579891,0.000195082,0.02603111,0
28,0.212055734,0.000358567,0.018764985,0.0247933,0.026424023,0.001640339,0,0.024774067,0
29,0.233005091,0.000295371,0.014047293,0.027562918,0.023842618,0.000818796,0,0.014743819,0
30,0.217831267,0.00033109,0.021035907,0.026506452,0.018461371,0.001515322,0,0.012360244,9.62E-05
31,0.212797596,0.000439622,0.027576656,0.017301869,0.018888629,0.00176673,0,0.017983282,0
32,0.239625521,0,0.033650307,0.021298306,0.016484447,0.001450752,0.000125017,0.018508081,9.62E-05
33,0.23512764,7.69E-05,0.02014842,0.02099744,0.023809646,0.00100014,0.00016898,0.020059122,0.000105784
34,0.210948437,0.000125017,0.027156268,0.017573885,0.018633099,0.000612723,0.00012227,0.015797537,0
35,0.204234586,0,0.02497327,0.016533904,0.022853469,0.000414893,0.000296745,0.022876823,0
36,0.191393506,0,0.02096859,0.01503919,0.022861711,0.00115126,0,0.016209683,0
37,0.162809841,0,0.020229475,0.013949752,0.020303662,0.000394286,0,0.016395148,0
38,0.125190573,0,0.019097449,0.01250999,0.021213129,0.000189587,0,0.015657408,0
39,0.111948337,0,0.009181228,0.01137659,0.017576632,0.000483584,0,0.013221628,0
40,0.094683562,0,0.010059098,0.007873353,0.020740536,0.000211568,0.000311857,0.014062405,0
41,0.071434434,0,0.010471244,0.003200997,0.012656989,0.000329716,0,0.008310227,0
42,0.041185701,0,0.005227379,0.008105528,0.011673335,0.00013326,0,0.005308434,0
43,0.025147745,0,0.002641853,0.00538262,0.00620279,0.00060448,0,0.002154147,0
44,0.020886161,0,0.001184231,0.005392237,0.005470545,5.08E-05,0,0.002900131,0
45,0.016057189,0,0.002685815,0.00308697,0.002603386,0.000140129,0,0.001298258,0
46,0.014779538,0,0.000568761,0.001448005,0.001353211,0,0,0.000707516,0
47,0.007180949,0,0.000578378,0.000555023,0.00052892,0,0,7.97E-05,0
48,0.004658618,0,0.000949308,0.000274764,0.001119662,0,0,0.001225446,0
49,0.003672216,0,0,0.000943813,0.000222559,0,0,0,0
50,0.002372584,0,0,0,0.001306501,0.000141503,0,0,0
