Divergence,DNA/TIRS,DNA/Crypton,RC/Helitron,Maverick,LTR,DIRS,PLE,LINE,SINE
0,0.142523162,0.011051065,0.008048116,0.010505341,0.018391088,0.002079145,0,0.009603225,0
1,0.420480343,0.023930395,0.022250432,0.030850133,0.027796187,0.011084477,0.00E+00,0.04534319,0
2,0.492922764,0.012838884,0.024784445,0.042813279,0.04643288,0.017722267,0,0.138125127,0.00E+00
3,0.433752407,0.012457874,0.027065233,0.031945685,0.073131757,0.017378772,1.88E-05,0.167570211,0
4,0.39267126,0.013606181,0.036468574,0.037472097,0.07268275,0.020209973,0,0.196707555,2.58E-05
5,0.387974865,0.01603058,0.035515461,0.044003205,0.061768263,0.013563977,0.000745022,0.191464263,0
6,0.340169761,0.012134308,0.042538952,0.046519047,0.092924377,0.012486596,0.00190857,0.180380959,0.00E+00
7,0.365723261,0.00561082,0.039176094,0.066138747,0.112987808,0.008631355,0.003746213,0.137747634,0
8,0.349486349,0.008599116,0.048659154,0.087965964,0.085483533,0.002876337,0.001708686,0.125796797,9.96E-06
9,0.355321086,0.010481308,0.051784027,0.097321239,0.093605507,0.002066836,0.000623685,0.120139669,0
10,0.354634095,0.011195263,0.049916489,0.087419653,0.10081364,0.002658868,0.003677045,0.12796973,4.28E-04
11,0.369527505,0.008620804,0.056898947,0.102493604,0.090465393,0.006137787,0.001249715,0.126761047,5.15E-04
12,0.371489417,0.009804868,0.074496361,0.092669393,0.111061653,0.001994737,0.002884543,0.126059988,8.56E-05
13,0.384826546,0.009800764,0.09653284,0.097671769,0.121804979,0.002210448,1.75E-03,0.124984365,9.03E-05
14,0.414271629,0.005901561,0.106959048,0.103012365,0.121418693,0.004071538,0.000389803,0.12043041,5.51E-05
15,0.433396602,0.007602626,0.097606704,0.104678846,0.122474971,0.003433785,4.81E-05,0.129319093,0
16,0.444602416,0.005451382,0.08412948,0.080610701,0.120931585,0.005267911,0.001469528,0.145123998,1.30E-04
17,0.438598862,0.006223368,0.068054937,0.081056777,0.134732374,0.002267306,0.002715726,0.137188427,0.000138336
18,0.427483318,0.007583283,0.053674426,0.081311761,0.120302625,0.00429311,0.000951354,0.13672887,5.10E-05
19,0.418718316,0.006082687,0.044191365,0.075751351,0.129496117,0.006076826,0.002069767,0.137584092,0.000223917
20,0.426978039,0.007613178,0.036640322,0.056031416,0.12504181,0.004177634,0.001909742,0.123017178,0
21,0.434137521,0.006613757,0.036018982,0.054512649,0.129178999,0.005886907,0.001931431,0.12650958,0
22,0.414025438,0.010150708,0.031752835,0.05215859,0.147650978,0.005866391,0.003572121,0.137687844,0.00E+00
23,0.432805156,0.006262055,0.035845475,0.05651442,0.129682519,0.005483035,0.001135998,0.130594013,0
24,0.482811915,0.003096737,0.020058742,0.052556599,0.136977992,0.003733904,0.00197129,0.128546521,5.39E-05
25,0.481812495,0.004763805,0.024424537,0.056420046,0.138741778,0.006114341,0.000151232,0.118319611,0.00E+00
26,0.455005763,0.002212206,0.02335419,0.060340352,0.118358885,0.00620168,0.000262604,0.123286231,4.10E-05
27,0.407905236,0.004191703,0.022935664,0.054461066,0.116874116,0.0055481,0.000474212,0.121848355,1.35E-05
28,0.337985691,0.004426757,0.024082213,0.056211956,0.084785405,0.00335641,0.000398596,0.127173711,0
29,0.326534272,0.0039502,0.018940329,0.048388343,0.098834144,0.005609648,0.000604928,0.118051145,0
30,0.285031083,0.003113736,0.01664137,0.047925269,0.065449997,0.003630738,0.001693445,0.097878101,0
31,0.279509946,0.00230951,0.01672402,0.043775771,0.053534331,0.003772591,0.000584998,0.079026869,0
32,0.249527931,0.003089703,0.018224615,0.033699506,0.043800976,0.003024052,0.001479493,0.068628798,0
33,0.235602287,0.000790743,0.011686474,0.037486752,0.038195431,0.003930271,0.00085405,0.068675105,0
34,0.212933916,0.001076208,0.009580364,0.037112775,0.031820831,0.003185248,0.000116648,0.05849333,0
35,0.196790205,0.002400367,0.010327731,0.05027288,0.026086915,0.002461328,0.000711611,0.043719498,0
36,0.16070909,0.001089104,0.007367572,0.041323235,0.021027681,0.002405642,0.000222158,0.043767564,0
37,0.129678416,0.001053348,0.0083582,0.036837861,0.020675979,0.002653592,0.000276672,0.04011338,0
38,0.093482997,2.66E-04,0.007676484,0.024029458,0.022967904,0.00134995,0.000641856,0.025653149,0
39,0.071995759,0.000915598,0.007059247,0.024705312,0.012705237,0.001647138,0.000874566,0.025930408,0
40,0.059030262,8.15E-05,0.004979515,0.020212904,0.011649545,0.001036349,0.000426146,0.021159569,0
41,0.037412894,3.60E-04,0.003478333,0.023355362,0.005974246,0.000288396,0,0.01388637,0
42,0.023686548,0.000436111,0.002839408,0.018866471,0.003415027,0.000301291,0,0.010163604,0
43,0.019268584,9.96E-06,0.002678211,0.014684148,0.002024045,0.000195781,0.000357564,0.007032283,0
44,0.014207005,0.000103166,0.001390396,0.01010147,0.00139743,2.83E-04,0,0.006773196,0
45,0.008604391,0.00E+00,0.001462494,0.008735693,0.000321221,0.000120165,0,0.005283737,0
46,0.005459002,0,0.000972456,0.006136029,5.48E-04,1.11E-05,0,0.002997674,0
47,0.003946097,7.62E-05,0.000679371,0.003409165,0.000386872,0.000123682,0,0.004107294,0
48,0.00196367,0,0.00017761,0.003015845,9.38E-05,0,0,0.001473632,0
49,0.00184116,0,0.000628374,0.001697549,0.00023271,0,0,0.001198718,0
50,0.001313021,0,8.56E-05,0.00118465,0.000111372,0,0,0.000588515,0
