Divergence,DNA/TIRS,DNA/Crypton,RC/Helitron,Maverick,LTR,DIRS,PLE,LINE,SINE
0,0.011307762,3.76E-05,0.000239426,0.000244557,0.004395183,0,0,0.000169309,0
1,0.012053404,0,0,0.000220614,0.008545809,0,0,0,0
2,0.019624406,7.52E-05,0.00027705,0.00081576,0.01056212,0,0,0.000220614,0
3,0.035334192,0,0.000442939,0.0012758,0.002965466,0,0,0.000593435,0
4,0.030258354,0,0.000246267,0.002980858,0.000743932,0,0,0.001742681,0
5,0.031299859,6.16E-05,0.000247977,0.002349798,0.001397224,0,0,0.001118463,0
6,0.032452526,0.000136815,0.000702887,0.00619088,0.002859434,0.000316385,0,0.006160097,0
7,0.047912624,0.000123134,0.000870486,0.008540678,0.002967176,0.000297573,0,0.002585804,0
8,0.045354183,0.000215484,0.001171479,0.004598695,0.002960335,4.45E-05,6.50E-05,0.002743141,0
9,0.037264994,0,0.001070578,0.012306512,0.004205352,6.33E-05,0,0.015909878,0
10,0.048393187,0.000109452,0.002035124,0.01974925,0.006223374,0.00072512,0,0.010324404,0
11,0.059712921,0.000229165,0.00237032,0.020342685,0.00655344,0.000425837,0,0.00391462,0
12,0.078654962,0.000136815,0.002513976,0.031848829,0.012118391,0.001046635,0,0.008208902,0
13,0.077300493,0.00027192,0.002996249,0.032777461,0.008297832,0.000836282,0.000119713,0.006572252,0
14,0.071272081,0.000256528,0.003526407,0.032180606,0.01128382,0.000200092,0,0.008219163,0
15,0.103081576,0.000150497,0.009671113,0.028700373,0.017437076,0.00063448,0,0.008403863,0
16,0.097455057,0.000600276,0.004130104,0.024038401,0.014326244,0.001197132,0,0.017921059,0
17,0.114989614,0.000326646,0.011762672,0.031375107,0.011974736,0.001679405,0,0.009811348,0
18,0.128359863,0.000750772,0.006782605,0.031641897,0.014782864,0.001811089,7.52E-05,0.013519035,0
19,0.152326436,0.000596856,0.011401823,0.037364185,0.016646969,0.001515226,0,0.017638878,0
20,0.142207254,0.000552391,0.005525617,0.038655377,0.019677422,0.000660133,0.00018299,0.014943622,0
21,0.16382574,0.000215484,0.008078928,0.029839358,0.013060705,0.00181793,0.000193251,0.015812397,0
22,0.180147773,0.000477142,0.01137446,0.02575885,0.018333214,0.001188581,0,0.016908628,5.64E-05
23,0.191488029,9.24E-05,0.009515485,0.029541786,0.016843641,0.00145366,0,0.015478911,0
24,0.199247151,0.000658422,0.021360247,0.032108778,0.018406752,0.002751692,0,0.012764842,0
25,0.228286142,0.000244557,0.02066078,0.032986104,0.019393531,0.001896598,0.00027534,0.016390441,0
26,0.289567305,0,0.018035642,0.037624134,0.022509493,0.001708478,0,0.045400358,0
27,0.257054923,0,0.023444966,0.043572167,0.016354527,0.001229625,0.000239426,0.019559419,0
28,0.256632506,0,0.026442925,0.036433843,0.016342556,0.001234756,0,0.01392435,0
29,0.27050213,0.000102611,0.032180606,0.035200798,0.019041232,0.000860225,0.000102611,0.015697815,0
30,0.260904556,0,0.024082866,0.036235461,0.020737738,0.001229625,0.000141946,0.014663151,0
31,0.283559415,0,0.033410231,0.030340444,0.023133712,0.001421166,0,0.016038142,0
32,0.283473905,8.04E-05,0.040386087,0.025344985,0.01847345,0.001445109,0,0.016636708,0
33,0.268827856,0,0.051103835,0.019696234,0.020549618,0.001717029,0,0.019381559,0
34,0.275519821,0,0.037362475,0.028753389,0.018647889,0.000733671,0,0.017630327,0
35,0.202356273,0,0.028259145,0.022600133,0.019863832,0.000891008,0.000141946,0.009163187,0
36,0.207544983,0,0.0316761,0.026076945,0.018678672,0.000808919,0,0.014628947,0
37,0.172585322,0,0.029235662,0.022690773,0.02129697,0.00063448,0,0.009305132,0
38,0.156193171,0,0.019725307,0.015519955,0.014704196,0.000661843,0,0.010774184,0
39,0.10403415,0,0.010132863,0.012893107,0.020144303,0.000388213,0,0.012487792,0
40,0.080585764,0,0.0135635,0.009787405,0.013625067,0.000814049,0,0.003724789,0
41,0.074849794,0,0.012870874,0.009773724,0.011343676,6.67E-05,0,0.004311384,0
42,0.048350432,0,0.006271259,0.005961715,0.006662892,0.00045491,0,0.006108791,0
43,0.028985975,0,0.003519567,0.001848713,0.003119383,0.000386502,0,0.003678614,0
44,0.021380769,0,0.003849633,0.005405904,0.00500572,0.000292442,0,0.004246397,0
45,0.016486211,0,0.002792737,0.004718408,0.003057816,0.000309544,0,0.003175819,0
46,0.01137617,0,0.001142406,0.002791027,0.001597315,0,0,0.000383082,0
47,0.008174698,0,0.001855554,0.002691836,0.002033413,0.000266789,0,0.000468591,0
48,0.009017821,0,0.000519897,0.002173649,0,0,0,0,0
49,0.003122803,0,0.00072854,0.001267249,0.001227915,0.000189831,0,0.000470302,0
50,0.001610997,0,5.64E-05,0,0,0,0,0.000232586,0
