Divergence,DNA/TIRS,DNA/Crypton,RC/Helitron,Maverick,LTR,DIRS,PLE,LINE,SINE
0,1.519771403,0.022604786,0.083768193,0.013950242,0.238092576,3.61E-05,0,0.021553955,0
1,0.995611013,0.00494701,0.006127237,0.033972558,0.323325667,0,0,0.027879372,0
2,0.736323386,0.00223242,0.024611104,0.025016317,0.206733134,9.60E-05,0,0.051221034,2.79E-05
3,0.452393328,0.002246722,0.013034936,0.078411883,0.068541018,0.000136206,0,0.129818157,0
4,0.433147388,0.003062597,0.00080566,0.203238082,0.050946578,0.000117818,0,0.160578972,0
5,0.260317346,0.008503355,0.004111385,0.25960635,0.040352458,0,2.52E-05,0.111456196,2.45E-05
6,0.230044149,0.005514309,0.0032492,0.235525088,0.022168245,0.000113732,0,0.083614961,4.02E-05
7,0.321516848,0.007513817,0.009434324,0.211518059,0.015693001,0.000471955,0,0.106445849,0
8,0.385870205,0.003968369,0.020643416,0.161121073,0.014394274,0.000473998,0,0.099736331,3.47E-05
9,0.286302771,0.005652559,0.057759614,0.179252165,0.013723459,0.00030374,3.81E-05,0.108431736,0
10,0.334209907,0.006067306,0.098511837,0.166529142,0.026182924,0.000474679,0,0.099134299,2.79E-05
11,0.374472468,0.007097026,0.089507243,0.100655042,0.013607002,0.000768884,0,0.101035057,3.81E-05
12,0.381684588,0.006959457,0.091102899,0.136134721,0.026626275,0.000987495,4.90E-05,0.092276315,0
13,0.439709804,0.005544956,0.095481248,0.144453517,0.024498052,0.000815194,3.88E-05,0.071338013,0
14,0.576578677,0.010582543,0.099163583,0.138228892,0.035450395,0.001567053,9.40E-05,0.088542903,4.43E-05
15,0.622303108,0.006295452,0.098643957,0.115895838,0.033018433,0.003103459,0.000232913,0.0978274,6.13E-06
16,0.607122924,0.005967876,0.088219413,0.110353606,0.037330041,0.002106429,0.000172301,0.104677212,0
17,0.605254174,0.006958095,0.088120663,0.094223383,0.041606236,0.002969977,0.000207715,0.121472121,0
18,0.641754039,0.007310869,0.076368109,0.114182363,0.049737067,0.002197006,0.00015868,0.123105233,8.04E-05
19,0.642548802,0.007353093,0.073863957,0.060750022,0.077517008,0.002870546,0.000345964,0.127373256,0
20,0.545996973,0.006520192,0.064772873,0.088130879,0.079350344,0.003681654,0.000532566,0.180033308,0
21,0.555741848,0.007805979,0.059386597,0.095818358,0.096030159,0.003779042,0.000147103,0.188700792,4.09E-05
22,0.553984787,0.006448003,0.054583284,0.063303207,0.103867466,0.003549534,0.00018524,0.172379199,0
23,0.568238088,0.006402374,0.059793173,0.064644158,0.099002179,0.003457595,0.0006606,0.192660988,0
24,0.540915119,0.006606002,0.056039329,0.051531584,0.100994876,0.002981554,0.000705548,0.200904189,0
25,0.525946735,0.005040312,0.044131499,0.056660429,0.097898909,0.004637822,0.004402866,0.179037641,5.52E-05
26,0.584490897,0.006823251,0.044590514,0.044579618,0.108063298,0.002929796,0.007122905,0.132431274,0
27,0.562311074,0.002803805,0.034996829,0.042687713,0.070597732,0.003680973,0.007481808,0.105230209,0
28,0.492928983,0.010762335,0.028091173,0.046989787,0.072383396,0.002844667,0.005790127,0.111083672,0
29,0.439137057,0.006085013,0.025068076,0.040212846,0.050884604,0.004713417,0.002606987,0.117233383,0
30,0.384649798,0.002265791,0.028273008,0.045001176,0.054946955,0.00415429,0.000517584,0.10830234,0
31,0.379473961,0.003186545,0.023860607,0.052413519,0.050761338,0.004231247,0.000440627,0.104614557,0
32,0.35116622,0.006614856,0.022179822,0.083725288,0.05473856,0.00902162,0.000788634,0.136842994,0
33,0.3035206,0.005206483,0.018292497,0.132575653,0.042699972,0.010269269,0.001893267,0.120858512,0
34,0.259682625,0.004876183,0.016499342,0.123199897,0.027307987,0.004778796,0.000411343,0.076476393,0
35,0.22646465,0.006608045,0.01490641,0.14771157,0.024466725,0.005929057,0.000468549,0.079163742,0
36,0.199718513,0.002705056,0.005073001,0.193366536,0.020625709,0.003422182,0,0.065977617,0
37,0.156780181,0.001057641,0.008894267,0.145255772,0.015426718,0.001902801,0,0.06346325,0
38,0.124485684,0.001759103,0.004268022,0.089714957,0.011667426,0.001024271,0,0.05583502,0
39,0.10256942,0.003007434,0.005564024,0.058565274,0.012340284,0.002474186,0,0.053311799,0
40,0.069454962,0.000463101,0.004741339,0.048018144,0.010370742,0.00149895,0.000348688,0.049081234,0
41,0.048533004,0.000136887,0.00417404,0.039755193,0.004549288,0.000406576,0.000861504,0.034491504,0
42,0.043195763,7.36E-05,0.001810862,0.038535466,0.004105256,0.000456972,1.16E-05,0.026856463,0
43,0.025026533,0.000159361,0.001447872,0.027929768,0.002462609,0.000200223,0,0.019732196,0
44,0.017014882,4.49E-05,0.000654471,0.020590977,0.001802689,0.000122586,0,0.017729965,0
45,0.012987945,0,0.000550954,0.018303393,0.000675583,0.000117137,0,0.013461943,0
46,0.005779911,0,0.000697376,0.016693436,0.000688522,0.000430412,0,0.011760046,0
47,0.004292539,0,4.09E-05,0.00925317,0.000640169,0,0,0.006723821,0
48,0.002923667,0,0.000460377,0.006788518,0.00016481,0,0,0.003947257,0
49,0.000793401,0,0.000183197,0.004481866,8.72E-05,9.94E-05,0,0.003582905,0
50,0.001377726,0,0,0.003107545,0.000315998,0.00014506,0,0.001914379,0
