Divergence,DNA/TIRS,DNA/Crypton,RC/Helitron,Maverick,LTR,DIRS,PLE,LINE,SINE
0,0.012397563,0.000285817,0.000524673,0.00133111,0.030319569,0.000160139,0,0.007010623,0
1,0.010583335,0.000279736,0.000606094,0.003117634,0.007892061,0,0,0.008135647,0
2,0.028728656,0.001474356,0.002444647,0.002112207,0.008024496,0.000835153,0,0.016453055,0
3,0.056940747,0.00122131,0.002536203,0.005212274,0.016984823,0.000244262,1.93E-05,0.022612647,0
4,0.073660362,0.001711523,0.004817671,0.004078804,0.057301228,0.00043278,1.96E-05,0.052733562,0
5,0.096736195,0.001888892,0.008695794,0.005040649,0.10945471,0.002344645,5.71E-05,0.080079419,0
6,0.106287075,0.002695328,0.012371887,0.006127496,0.120410013,0.004138602,0,0.139949283,0
7,0.148378517,0.004041979,0.013917528,0.011343824,0.105528275,0.001973353,5.64E-05,0.178240644,0
8,0.173364188,0.00388961,0.023396447,0.019052097,0.125198291,0.003194663,1.25E-05,0.219297943,0
9,0.210710934,0.00505923,0.020731187,0.020485912,0.156467542,0.002813912,0.000201356,0.229698503,0
10,0.255711899,0.011155307,0.022041689,0.022778191,0.133860977,0.005096731,0.000529403,0.295015444,0
11,0.298641873,0.009596827,0.026612057,0.025119795,0.112870324,0.003622037,0.000101016,0.309315074,0
12,0.375480681,0.011498895,0.037827838,0.01889804,0.116634932,0.004496042,0.000455077,0.316202722,0
13,0.404081632,0.010313059,0.027826272,0.025016752,0.133108933,0.004914294,0.000331764,0.303609209,0
14,0.47857681,0.013501641,0.028342499,0.023652196,0.129359529,0.005618701,0.000289533,0.293951907,0
15,0.573289988,0.014577677,0.040649858,0.021870401,0.144328093,0.007515364,0.000452375,0.303457178,0
16,0.617133157,0.012823923,0.031843588,0.016783806,0.171119883,0.008659983,6.55E-05,0.30247709,0
17,0.682453476,0.017331115,0.044620213,0.022615687,0.177844352,0.008960327,0.000367913,0.333349711,0
18,0.720840447,0.012553647,0.051412588,0.025120133,0.195704869,0.008692416,5.20E-05,0.344590492,0
19,0.792234544,0.013656036,0.048209141,0.025765079,0.22418352,0.010595497,6.11E-05,0.384754191,0
20,0.828921479,0.0153706,0.054957934,0.017540241,0.230170811,0.009647166,3.48E-05,0.389994168,0
21,0.839311229,0.017229085,0.057178252,0.017811868,0.264683037,0.014216521,0.000171287,0.41778902,0
22,0.849052316,0.016500354,0.069368716,0.02108829,0.29047413,0.013762119,0.000144598,0.453757697,0
23,0.898383441,0.014391525,0.06606797,0.016524003,0.311696882,0.011014087,0.000165544,0.437913438,0
24,0.856503151,0.01405368,0.061620915,0.017095299,0.32436168,0.013911447,0.000132773,0.465754913,0
25,0.870780146,0.013056023,0.072542771,0.014003003,0.334573724,0.010336708,0.000212167,0.507720002,0
26,0.821512537,0.010956654,0.079740898,0.013191499,0.381220331,0.012643176,0,0.512361655,0
27,0.810365,0.014451323,0.065508161,0.015778717,0.38357072,0.012746557,0.000225005,0.561380611,0
28,0.744128108,0.007496782,0.069295404,0.014195574,0.391103313,0.01198877,0.000183112,0.632823696,0
29,0.729597391,0.008103214,0.05351162,0.011168145,0.386419767,0.015823312,0.000330075,0.690888454,0
30,0.696142958,0.007436308,0.050945011,0.010422183,0.373179619,0.013166836,0.000107097,0.742360165,0
31,0.641356987,0.0052991,0.044305679,0.010189408,0.358069497,0.014354362,0.00014426,0.790114229,0
32,0.580821568,0.005703163,0.041393117,0.010501914,0.36256081,0.012166139,6.62E-05,0.81613134,0
33,0.551739188,0.003483858,0.040794455,0.009415742,0.352899792,0.013542182,0,0.774797684,0
34,0.505406101,0.003218988,0.033506123,0.010804623,0.332442597,0.016859821,0,0.712584865,0
35,0.436436717,0.002007475,0.028708723,0.011009695,0.303733874,0.007090017,8.11E-05,0.580544197,0
36,0.377744919,0.001758146,0.025449532,0.008746133,0.270498702,0.015080053,0.000172301,0.483590768,0
37,0.316694286,0.001089213,0.021628504,0.008737349,0.236103032,0.009202562,0.000132435,0.385922797,0
38,0.25296015,0.000882789,0.019259196,0.009821494,0.190308808,0.010163056,3.45E-05,0.315382434,0
39,0.195246752,0.000235478,0.01166275,0.006695076,0.170824944,0.006347433,0,0.241469701,0
40,0.14415917,0.00149091,0.010612727,0.007415362,0.133873815,0.008450857,3.45E-05,0.182999867,0
41,0.103982971,0.000298317,0.004859226,0.006051819,0.116138975,0.007446781,0,0.129149051,0
42,0.08173486,0.000320277,0.004258875,0.005154502,0.101021422,0.008621806,0,0.08657145,0
43,0.050867982,4.05E-05,0.004352458,0.003639267,0.085898462,0.006617034,0,0.059062414,0
44,0.034370331,9.09E-05,0.002944996,0.002395997,0.05983439,0.00501227,0,0.040095116,0
45,0.023361649,0,0.002292617,0.002008151,0.045737467,0.003361559,0,0.026555974,0
46,0.015722972,0,0.000652379,0.001557128,0.028988459,0.002592623,0,0.016738534,0
47,0.009539731,0,0.000676704,0.001073334,0.021068019,0.002174033,0,0.010515428,0
48,0.006039656,0,0.001237864,0.001263203,0.016200347,0.000879749,0,0.008708633,0
49,0.005160921,0,0.000448996,0.000543931,0.010147853,0.001275027,0,0.003633186,0
50,0.002950401,0,0.000472645,0.000368251,0.00721333,0.000569269,0,0.003217974,0
