Divergence,DNA/TIRS,DNA/Crypton,RC/Helitron,Maverick,LTR,DIRS,PLE,LINE,SINE
0,1.517521653,0.053868248,0.049858987,0.13981602,0.16367323,0.017961517,0,0.227199844,0
1,1.142074928,0.018147647,0.056372168,0.392974845,0.19774176,0.034520268,0,0.2018699,0.000718705
2,0.673202636,0.010398809,0.086315956,0.370881792,0.338040767,0.02088389,6.52E-05,0.291509697,0.000510838
3,0.569056949,0.008088491,0.058637652,0.365938486,0.289613076,0.017702022,0.001373556,0.336157052,0.000593034
4,0.52091117,0.01628567,0.053161091,0.192242103,0.319558222,0.015495638,0.002136416,0.226070159,0
5,0.439788506,0.01233483,0.049937107,0.11911826,0.181934321,0.015531641,0.001252639,0.224586556,0
6,0.528888255,0.008437654,0.057608504,0.108019767,0.274938039,0.004818993,2.31E-05,0.305594418,0.000711233
7,0.459114748,0.008829613,0.069208325,0.123055515,0.296062403,0.005357683,0,0.247537572,0
8,0.483573822,0.006237383,0.073532784,0.066571941,0.154181294,0.005433765,0.000266288,0.222236838,0.000560427
9,0.371572646,0.009554432,0.063087783,0.081407294,0.099603171,0.005193291,0.001073303,0.172986509,0.000163033
10,0.360572651,0.00997696,0.085364928,0.117086458,0.144699548,0.002518865,0.000559068,0.164830087,4.08E-05
11,0.367973685,0.012654103,0.11318113,0.141552325,0.091633559,0.003059592,4.48E-05,0.169866458,0.000398073
12,0.384152025,0.011809047,0.188829272,0.092781585,0.101026996,0.001967948,0.000199716,0.162206609,0.000226888
13,0.390820088,0.008655032,0.206217455,0.082195968,0.121036619,0.00406904,0.000335577,0.131287339,0
14,0.454678883,0.006825662,0.188211104,0.075838347,0.103553333,0.002081392,0.000105292,0.142990415,0.000134502
15,0.480292776,0.007175504,0.158296527,0.062203327,0.096843832,0.003097633,0.000762181,0.17167409,1.43E-05
16,0.464023409,0.006502992,0.136357676,0.059701445,0.09626914,0.003205643,0.00014673,0.171660504,7.47E-06
17,0.495055444,0.007399675,0.079811605,0.050440473,0.094752251,0.006008457,0.000447662,0.165626233,0.000127709
18,0.497075019,0.008040939,0.070506478,0.040093291,0.102262653,0.005488789,0.000220774,0.202225856,4.35E-05
19,0.470063115,0.007434999,0.056623511,0.050180299,0.08771057,0.005275487,5.71E-05,0.167750422,9.92E-05
20,0.450100363,0.007464209,0.043924574,0.041002202,0.099548827,0.005346814,0.001403445,0.198791287,0
21,0.475091334,0.01025072,0.040445171,0.039293748,0.107824806,0.006764524,4.08E-05,0.172013064,0.000297536
22,0.482202304,0.009915143,0.038589988,0.037824411,0.121101832,0.008092567,0.000292101,0.181572251,0
23,0.550046584,0.007566105,0.036561582,0.035265467,0.152364831,0.006908537,0.000228926,0.224215655,0.000320632
24,0.602882288,0.004670905,0.039166039,0.037177712,0.132962507,0.007058664,0.000502007,0.215420007,0.000131106
25,0.635346978,0.007773972,0.039231252,0.024563008,0.116435004,0.006365093,0.002192798,0.196397415,0.000749274
26,0.586655038,0.006492123,0.037493589,0.02716339,0.098764229,0.005200763,0.000238436,0.153440851,6.79E-05
27,0.524857935,0.003011361,0.029110279,0.027380088,0.082869839,0.002861235,0.00030297,0.131347798,0.000377694
28,0.446050344,0.003590809,0.026504463,0.026195379,0.061474432,0.004750383,0.000349842,0.118510282,0.000184771
29,0.381489827,0.003136354,0.02356307,0.031951135,0.049266633,0.005195329,0.000150806,0.131979552,4.96E-05
30,0.346631264,0.001503303,0.023022343,0.020965406,0.044559045,0.005052674,0.001684678,0.109187493,0
31,0.310618561,0.003690667,0.021086323,0.01979768,0.037984727,0.003532389,0.000111406,0.082079127,0
32,0.311616461,0.002237632,0.018257694,0.016223174,0.032551641,0.003293952,0.000139937,0.084125195,0
33,0.287209693,0.001913604,0.018892845,0.015282336,0.024827258,0.004129498,0.000331501,0.07565969,0
34,0.255090091,0.00026425,0.016480631,0.014821767,0.026631493,0.004009261,0.000565182,0.080738178,0
35,0.220321196,0.000447662,0.010294196,0.022147398,0.021753401,0.004107081,0.000484345,0.062159172,0
36,0.201954813,0.000422528,0.005905882,0.016948673,0.018666636,0.002971962,0.002113319,0.055145343,0
37,0.160214206,0.000484345,0.005727225,0.017721722,0.011093059,0.002587475,0.000616809,0.04987597,0
38,0.122875499,0,0.004704191,0.010166486,0.009307165,0.002757301,0,0.040323575,0
39,0.095451256,0.00018613,0.006139563,0.013050138,0.006980543,0.001178595,0.002265484,0.033632416,0
40,0.068248467,0.000535293,0.003435248,0.011612728,0.005348172,0.000690854,3.33E-05,0.0320048,0
41,0.053668532,0.002306242,0.005916072,0.008011729,0.003957634,0.000797505,8.29E-05,0.023395282,0
42,0.033547503,0,0.001888469,0.006793055,0.001938738,0.000629716,0,0.013365336,0
43,0.021464696,9.17E-05,0.002086827,0.008528001,0.001389859,0.000191564,0,0.011652128,0
44,0.014503173,0.000239795,0.001292039,0.005943923,0.002111961,0.000291422,0,0.007679549,0
45,0.010523801,0,0.000261533,0.004202863,0.000811091,0.000169147,0,0.004977272,0
46,0.007047795,0.000100537,0.001019638,0.003204963,0.001344346,3.19E-05,0,0.004488172,0
47,0.004791821,0,0.000620885,0.002427838,0.000349163,7.20E-05,0,0.002596985,0
48,0.001300191,0,0.000230964,0.001195578,0.000109368,0.000134502,0,0.001150064,0
49,0.000898721,8.83E-05,0.000286667,0.001547458,0.000272402,0,0,0.001529796,0
50,0.0010176,0,8.70E-05,0.002516148,0.000385166,0,0,0.000741122,0
