Divergence,DNA/TIRS,DNA/Crypton,RC/Helitron,Maverick,LTR,DIRS,PLE,LINE,SINE
0,0.023381148,0.000512627,0.000398024,0.015050786,0.000369201,3.57E-05,0.000369888,0.002875378,0
1,0.03547352,6.86E-05,0.000245677,0.029998635,0.000584683,4.05E-05,0,0.010646448,0
2,0.027816367,0.000760363,0.000684189,0.032718922,0.003186248,4.25E-05,2.68E-05,0.023988477,0
3,0.053687222,0.000966923,0.003378398,0.030302643,0.002885672,0.000107741,0.000103623,0.02004667,0
4,0.044404349,0.001951002,0.002406671,0.044059166,0.008219876,6.11E-05,0,0.029192294,0
5,0.061509761,0.001336124,0.003635741,0.045778903,0.016549551,0.000129701,0,0.028718783,0
6,0.087623547,0.004584821,0.004636976,0.039647279,0.019352187,0.000127642,2.68E-05,0.065021977,0
7,0.089053688,0.002939885,0.006734836,0.030725372,0.025984772,0.000132446,1.99E-05,0.054322688,0
8,0.107892562,0.002904201,0.00991079,0.047227572,0.039273274,0.00032185,0,0.098714684,0
9,0.131680655,0.002513726,0.012132174,0.042740884,0.021827483,0.000528411,0,0.067398453,0
10,0.17452379,0.003180072,0.011036923,0.043243904,0.020769975,0.001252402,0,0.058081953,0.000155092
11,0.201881057,0.003377025,0.010787129,0.042799901,0.019693939,0.001555724,0,0.051979838,4.05E-05
12,0.193364722,0.003474472,0.018519769,0.054805806,0.02650632,0.000905847,8.23E-05,0.061228399,5.49E-05
13,0.197468484,0.003649466,0.021893363,0.043242531,0.027176784,0.002148642,0,0.053942507,5.35E-05
14,0.213796377,0.00377299,0.019783151,0.034822957,0.032493146,0.003444964,5.83E-05,0.052066305,0.000102251
15,0.256015713,0.003356438,0.02017843,0.034328173,0.040051479,0.001445238,4.94E-05,0.052615303,0
16,0.225434454,0.004052293,0.019709036,0.056737594,0.040323919,0.00235383,2.26E-05,0.053205476,5.76E-05
17,0.232480159,0.00680346,0.019948537,0.045780275,0.047949505,0.001902279,0.000107741,0.0506444,0.000143426
18,0.245242309,0.004427671,0.017550787,0.043053127,0.053243906,0.003174582,3.36E-05,0.06255423,0.000109113
19,0.249367345,0.005030196,0.021158391,0.044015246,0.062121894,0.003147819,0,0.093902715,0
20,0.264583517,0.004551882,0.020444008,0.040936739,0.061862492,0.004224541,0.00011529,0.095311581,0
21,0.29678638,0.005190778,0.024475713,0.039944424,0.062145912,0.004377575,0.000498216,0.071633288,0
22,0.325767996,0.004910103,0.02290901,0.040411759,0.057853433,0.002775872,0.000762421,0.080968316,0
23,0.338121828,0.002815675,0.024154549,0.036959247,0.066128895,0.006150153,0.00106986,0.084054373,0
24,0.38436189,0.003283009,0.026751311,0.037535008,0.062736772,0.004668544,0.000748696,0.07111723,0
25,0.373292713,0.004280814,0.022059435,0.035544204,0.061094581,0.004610899,0.000667033,0.069842868,5.15E-05
26,0.393357912,0.003903377,0.022795779,0.032484911,0.065530486,0.002758716,0.000170189,0.059619148,0
27,0.3284924,0.003453199,0.016803463,0.041604458,0.059050249,0.005328028,0.000641642,0.062561779,0
28,0.300107133,0.004805793,0.017239917,0.038360564,0.050908605,0.004359732,7.27E-05,0.056150852,0
29,0.250729547,0.001959237,0.015406263,0.051196143,0.057670891,0.002542548,0.000422729,0.067813633,0
30,0.227787597,0.002346281,0.022030612,0.055358236,0.054589638,0.003208895,0.000537332,0.064689833,0
31,0.218312574,0.002257069,0.01227011,0.054517582,0.047400506,0.003051744,7.89E-05,0.067381983,0
32,0.188906171,0.001740324,0.012963221,0.041596909,0.044231414,0.001232501,0.000465962,0.063055191,0
33,0.173878717,0.002193248,0.008333793,0.058790161,0.03538568,0.002217267,0.000308811,0.06314852,0
34,0.168759308,0.000616937,0.00687483,0.047959112,0.039898446,0.002294126,0.000102937,0.070421374,0
35,0.153212365,0.000402141,0.007411476,0.047157575,0.029082495,0.001021823,0.000253912,0.059110639,0
36,0.131190674,0.000330085,0.003939062,0.028963774,0.021550925,0.001552979,0.000355476,0.054330237,0
37,0.105194236,0.000369888,0.004053666,0.029199843,0.017428635,0.001331321,0.000500275,0.032568633,0
38,0.080080998,0.000126956,0.002206287,0.021150156,0.008037334,0.001144661,2.81E-05,0.031162512,0
39,0.054306904,0,0.000801537,0.027200117,0.009230719,0.000916141,0.000425474,0.026329268,0
40,0.033183511,0,0.002270794,0.024389246,0.006025942,0.000851633,3.09E-05,0.018332423,0
41,0.024525123,0.000106368,0.001375927,0.021546808,0.003883476,0.000858496,0,0.011270247,0
42,0.01530607,0,0.000263519,0.016739642,0.002642054,0.001002608,0,0.008723582,0
43,0.010439887,1.30E-05,0.000422042,0.007530883,0.002150014,0.000937414,0.000190777,0.006740326,0
44,0.00757343,0,0.000325281,0.006824048,0.000968296,0,0,0.004251991,0
45,0.00380044,5.56E-05,0.000236755,0.006174171,0.001032803,0.000288224,0,0.003978865,0
46,0.001865908,0,0.000421356,0.003265167,0.000780264,0,0,0.003410651,0
47,0.001587291,0,0.000139308,0.002949493,0.000664974,6.52E-05,0,0.001244853,0
48,0.001163876,0,0,0.00216168,0.000202443,0,0,0.001189954,0
49,0.000702031,0,0.000123525,0.00152896,0,0,0,0.002405985,0
50,0.000343124,0,0,0.002193248,0.000226462,0,0,0.000703404,0
