Divergence,DNA/TIRS,DNA/Crypton,RC/Helitron,Maverick,LTR,DIRS,PLE,LINE,SINE
0,0.004490546,0,0.00026999,6.94E-05,0.002854962,5.24E-05,0,0.003448669,0
1,0.005563027,0,0.000166619,0.000377443,0.006082606,0,0,0.003911121,0
2,0.012981984,0,0.001586619,0.001887213,0.011107692,0.000119013,0,0.007941255,0
3,0.025148555,1.00E-04,0.015368373,0.009654368,0.006818449,2.04E-05,0,0.009155872,0
4,0.036832272,4.83E-05,0.015890671,0.015647204,0.021813459,6.46E-05,0,0.018816361,0
5,0.067631584,0.000908582,0.015903593,0.024978536,0.059756297,0.0001809,0,0.030513,0
6,0.081926116,0.000578745,0.009718296,0.023435442,0.103833426,0.000201983,0,0.063727264,0
7,0.102762305,0.000610709,0.011005001,0.013623976,0.255176327,0.000476054,0,0.142532508,0
8,0.141514433,0.00071,0.011051246,0.012138688,0.465329538,0.000790249,0,0.422225599,0
9,0.149593744,0.00061683,0.01401706,0.018089359,0.34594956,0.000466533,0,0.738826451,0
10,0.158918956,0.000663075,0.009995087,0.010891428,0.315512049,0.000807251,5.51E-05,0.790791789,0
11,0.168416906,0.001090163,0.011849656,0.019497118,0.234735943,0.001316628,0,0.693790414,0
12,0.200037071,0.001410479,0.008747826,0.037691209,0.230209352,0.001290105,0,0.81634975,0
13,0.200260136,0.000863697,0.011153937,0.029337827,0.193296831,0.001259502,0,0.985962231,0
14,0.233084717,0.002083755,0.009978085,0.0276764,0.184882923,0.001908295,0.000219665,1.146184214,0
15,0.256844555,0.00292637,0.014747463,0.02288866,0.159263754,0.00177024,0.000833094,1.16743457,0
16,0.285600917,0.003218123,0.016383047,0.017929541,0.16037908,0.001994665,8.09E-05,1.259342851,0
17,0.305737987,0.003407864,0.018869407,0.016332041,0.185356936,0.002914809,0.00079841,1.145009041,0
18,0.33654478,0.007082318,0.018458641,0.01605117,0.142242796,0.005725565,0.000420287,1.113936338,0
19,0.350490432,0.005097855,0.021095298,0.016113056,0.170177625,0.004644924,0.003364339,1.097862046,0
20,0.414006873,0.007582855,0.020558038,0.015883191,0.131082737,0.003382701,0.000908582,1.070755551,0
21,0.387865406,0.007256418,0.034054159,0.016068852,0.146444309,0.009245642,0.001474406,0.976343907,0
22,0.427934163,0.009023257,0.030436831,0.017042041,0.146223964,0.004762577,0.000841935,1.06933011,0
23,0.455469787,0.005998956,0.022224906,0.009078343,0.177438803,0.008361543,0.000719521,0.998230134,0
24,0.428042295,0.006614426,0.034174533,0.014664493,0.18441571,0.004360652,0.000627031,0.853323479,0
25,0.41327579,0.00736455,0.027402329,0.010598995,0.166490249,0.003966887,0.000279512,0.884326814,0
26,0.434226232,0.004987682,0.037394696,0.009064742,0.185754781,0.007602577,0.000491695,0.915666107,0
27,0.419399201,0.005135939,0.026234638,0.01100364,0.197113421,0.004032175,2.52E-05,1.03660006,0
28,0.406399535,0.007128564,0.027600912,0.009610163,0.196694494,0.00736183,0.000172059,1.015972655,0
29,0.36537595,0.003204521,0.026129906,0.008220767,0.243929899,0.002344224,0.000342759,1.073603032,0
30,0.345342252,0.00487819,0.02448072,0.007950096,0.236330042,0.005124378,0.000870498,1.111559471,0
31,0.338529924,0.00328273,0.021771974,0.012610662,0.252114622,0.007251658,0.000544061,1.139186905,0
32,0.289301214,0.002999818,0.01649798,0.012675269,0.236940751,0.002360546,0.00026931,1.066753979,0
33,0.282937057,0.00275363,0.013581131,0.011614349,0.209051487,0.004920355,0.000539301,1.015812157,0
34,0.235434381,0.000960268,0.006943583,0.009815547,0.243177054,0.002174205,0,0.984239597,0
35,0.200536247,0.001164971,0.01348524,0.00647501,0.268016855,0.00470205,0,0.90869056,0
36,0.181618555,0.001048678,0.008346581,0.009299368,0.299849883,0.005651437,0.000196542,0.806637575,0
37,0.154149578,0.001998065,0.009941361,0.01295138,0.325624109,0.002512883,0,0.826287711,0
38,0.118755668,0.001185374,0.008489397,0.007516887,0.364672071,0.005441293,0,0.640945056,0
39,0.100309948,0.001054799,0.007383592,0.002815517,0.286567306,0.003418065,4.83E-05,0.536006506,0
40,0.080941365,0.000731762,0.006323353,0.006107769,0.26389491,0.007752874,0,0.365355548,0
41,0.049829217,0,0.00221773,0.004536791,0.259451289,0.005025767,0,0.249580656,0
42,0.045831727,0,0.002967175,0.003165757,0.205168249,0.007649502,0,0.172555853,0
43,0.028217061,0,0.000950747,0.002243573,0.152796225,0.001256782,0,0.106782918,0
44,0.021586314,0,0.000831054,0.001796763,0.142643361,0.006949023,0,0.056876852,0
45,0.014439388,0,0.000452931,0.001452644,0.096758588,0.00185933,0,0.030712942,0
46,0.010670403,0,0.001071801,0.000671236,0.081707131,0.001234339,0,0.022203143,0
47,0.00656478,0,0.000172739,0.000734483,0.058771546,0.001520651,0,0.011744244,0
48,0.004602759,9.52E-05,0.000238707,0.000775967,0.035106238,0.000724282,0,0.006936782,0
49,0.002288458,0,0,0.000550862,0.03609915,0.002886925,0,0.004553793,0
50,0.000897021,0,0.000154377,0.000165939,0.026800461,1.63E-05,0,0.002533286,0
