Divergence,DNA/TIRS,DNA/Crypton,RC/Helitron,Maverick,LTR,DIRS,PLE,LINE,SINE
0,0.006184666,2.94E-05,0.000679077,0.000850366,0.001786884,4.05E-05,0,0.000666914,0
1,0.001622689,0,0,0.000117571,0,0,0,0.000143924,0
2,0.005367747,7.50E-05,0.000704415,0.000641576,0.000664887,0,0,0.000660833,0
3,0.013463964,5.47E-05,0.00254299,0.001668299,0.002308861,0.0001571,0,0.001318625,0
4,0.012462579,0.000146964,0.000738876,0.004185951,0.001981485,4.76E-05,0,0.000966924,0
5,0.020808128,7.40E-05,0.001330788,0.003111591,0.002750768,0.000161154,0,0.001637893,0
6,0.026889413,0.00028278,0.002976789,0.00956282,0.004672454,0.000135815,3.55E-05,0.002890637,0
7,0.041924375,0.00077131,0.003298083,0.012473728,0.00707152,0.000475354,0,0.006710697,0
8,0.070602699,0.001013547,0.003178485,0.023610587,0.00522585,0.000343593,4.05E-05,0.005663703,0
9,0.069389483,0.000684145,0.004581234,0.023710928,0.006717792,0.000861515,0,0.006463392,0
10,0.095689011,0.000997331,0.010604747,0.044458244,0.010859147,0.000803743,7.50E-05,0.016528931,0
11,0.106708298,0.001469644,0.011089222,0.04584579,0.010612855,0.000670968,0.000101355,0.032875424,0
12,0.154687606,0.002014932,0.008170206,0.047128941,0.013015976,0.001540592,0,0.028640823,1.22E-05
13,0.176442387,0.003541335,0.018283382,0.039932754,0.016192433,0.001142268,6.18E-05,0.028153306,0
14,0.199273556,0.003933577,0.017319498,0.063560572,0.01620561,0.002597722,0,0.021107125,0.000131761
15,0.266512291,0.005650527,0.018815494,0.045994781,0.024170065,0.002432514,7.70E-05,0.031092594,0
16,0.301662115,0.006498866,0.019849312,0.051808489,0.024781234,0.004024797,0,0.037502268,6.69E-05
17,0.319301894,0.004519408,0.040018906,0.061072313,0.027877621,0.002442649,0.000193588,0.045548821,0
18,0.380280961,0.005248148,0.032221686,0.073410225,0.033490647,0.002165951,0.000226021,0.048942177,0
19,0.43868359,0.007647215,0.036622509,0.073025077,0.034337973,0.003192674,5.47E-05,0.071236166,0
20,0.413656063,0.007979659,0.05782592,0.061000351,0.036257631,0.004738334,4.16E-05,0.064684596,0
21,0.425180097,0.007737421,0.044484596,0.058256678,0.042271008,0.00432278,0.000107436,0.064773788,0.00012568
22,0.468011597,0.004234601,0.065307927,0.043220702,0.045578213,0.00577722,0,0.07494879,0
23,0.471630975,0.00477989,0.059160762,0.049615173,0.052595002,0.005190376,6.18E-05,0.057710376,0
24,0.465484824,0.004675494,0.06041452,0.057183331,0.063472393,0.003715665,0.000387175,0.056375534,0
25,0.447444693,0.005486332,0.073489282,0.041012182,0.073041294,0.006410687,0.000263522,0.061463542,0
26,0.507193313,0.004276157,0.054130526,0.031340913,0.08350009,0.007939117,0.000103382,0.064413978,0
27,0.480433635,0.00482854,0.071153055,0.04663433,0.097900571,0.004037973,0.000437852,0.059771931,0
28,0.46867243,0.004839689,0.080341876,0.035743763,0.113755493,0.008875635,0.000779418,0.057884706,0
29,0.484551678,0.005030236,0.069113798,0.034082559,0.122906813,0.007944185,0.001699719,0.051261174,0
30,0.478156193,0.004070406,0.064761625,0.034794069,0.124255845,0.008830025,0.001174701,0.069822267,0
31,0.4356095,0.003467346,0.051519628,0.040726362,0.124098745,0.007124225,0.000902057,0.066103562,0
32,0.455827744,0.006193788,0.058774601,0.034273106,0.141767917,0.010050336,0.001103753,0.087473196,0
33,0.436030123,0.003190647,0.051630105,0.027088068,0.169812774,0.009631741,0,0.092421334,0
34,0.349755953,0.002683874,0.045132253,0.033633557,0.153962919,0.011415584,0.000185479,0.105980571,0
35,0.349267424,0.000649684,0.047037722,0.028829343,0.185413295,0.003276799,0,0.098757019,0
36,0.264731488,0.000684145,0.038057692,0.023199087,0.21469468,0.003057873,0,0.078365459,0
37,0.231539838,0.001203081,0.021878434,0.031093607,0.245791328,0.003767356,0.000507787,0.063903151,0
38,0.155651489,0.000155073,0.019370918,0.023041987,0.22905462,0.00538295,0.000269604,0.074902167,0
39,0.141820621,0.000152032,0.013901816,0.024178173,0.238843461,0.002149734,0,0.053192995,0
40,0.09854012,0.000320281,0.009627687,0.020249664,0.188126562,0.002101084,0,0.046336347,0
41,0.067731319,0,0.016112363,0.018644205,0.192024665,0.002107165,0,0.034199117,0
42,0.048552975,0,0.008131691,0.009643904,0.158708348,0.004983613,0,0.018116146,0
43,0.032357501,0.000318254,0.003889995,0.007998916,0.105775835,9.73E-05,0,0.013496397,0
44,0.02613432,0,0.005992092,0.006299197,0.086896487,0.000910166,0,0.010168921,0
45,0.013705188,0,0.00137133,0.008172233,0.062398033,0.000116558,0,0.008019187,0
46,0.009856749,0,0.000925369,0.006061014,0.045127185,0.00017433,0,0.003283894,0
47,0.006383322,0,0.001087536,0.003642689,0.023884245,1.52E-05,0,0.001878103,0
48,0.004727185,0,0.000363864,0.002466974,0.013660592,4.97E-05,0,0.002451771,0
49,0.002562248,0,0.000132775,0.001557822,0.005610998,0,0,0.001428088,0
50,0.002228791,0,0,0.001086523,0.003749112,0,0,0.000447988,0
