Orthogroup	Acaulospora-colombiana-protein	Acaulospora-morrowiae-protein	Ambispora-gerdemannii-protein	Ambispora-leptoticha-protein	Cetraspora-pellucida-protein	Claroideoglomus-candidum-CCK-protein	Claroideoglomus-lamellosum-protein	Dentiscutata-heterogama-protein	Diversispora-eburnea-protein	Diversispora-epigaea-protein	Diversispora-erythropus-protein	Funneliformis-caledonium-protein	Funneliformis-mosseae-protein	Geosiphon-pyriformis-protein	Gigaspora-margarita-BEG34-protein	Gigaspora-rosea-FL-protein	Innospora-majewskii-protein	Paraglomus-brasilianum-protein	Paroglomus-occultum-protein	Racocetra-persica-protein	Rhizophagus-cerebriforme-protein	Rhizophagus-clarus-protein	Rhizophagus-diaphanus-protein	Rhizophagus-fulgida-protein	Rhizophagus-irregularis-protein	Scutellospora-calospora-protein	Septoglomus-turnauae-protein	Total
OG0000000	1	0	0	0	0	0	0	0	0	0	0	0	0	2721	0	0	0	0	0	0	0	0	0	0	0	0	0	2722
OG0000001	26	51	21	23	60	44	44	50	44	68	71	44	61	32	253	67	131	4	37	116	164	206	231	60	164	39	184	2295
OG0000002	16	42	25	35	17	24	73	24	12	255	42	55	19	28	29	29	53	24	25	33	215	164	164	42	138	18	140	1741
OG0000003	0	0	0	0	0	0	0	0	0	0	0	0	0	1723	0	0	0	0	0	0	0	0	0	0	0	0	0	1723
OG0000004	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1667	0	2	0	1	0	0	0	0	0	0	1671
OG0000005	36	49	36	33	20	11	42	24	19	121	39	24	55	148	29	24	24	25	27	25	67	213	143	18	134	16	159	1561
OG0000006	0	0	0	0	0	0	0	0	0	0	0	0	0	1329	0	0	0	0	0	0	0	1	0	0	1	0	0	1331
OG0000007	0	0	1	0	0	0	0	0	0	0	0	0	0	1237	0	0	0	0	0	0	0	0	1	0	1	0	0	1240
OG0000008	2	10	35	31	12	1	1	7	25	132	8	5	4	65	93	13	293	1	1	9	120	62	28	5	25	2	230	1220
OG0000009	0	0	0	0	0	0	0	0	0	0	0	0	0	1182	0	0	0	0	0	0	0	0	0	0	0	0	0	1182
OG0000010	16	14	16	22	6	6	10	7	5	77	42	70	11	3	26	28	20	23	20	15	96	137	96	13	87	7	87	960
OG0000011	15	19	4	3	3	4	43	15	1	110	24	0	0	4	21	18	7	3	2	21	100	112	85	13	190	11	112	940
OG0000012	36	44	19	6	23	23	25	13	14	50	30	39	24	7	96	20	25	21	32	77	39	82	78	15	31	11	56	936
OG0000013	17	21	23	28	13	10	23	14	10	24	25	42	39	13	51	21	23	15	17	34	79	97	90	31	92	14	63	929
OG0000014	35	44	32	18	21	20	26	23	37	40	49	35	33	34	57	35	10	9	10	32	46	65	51	36	51	25	37	911
OG0000015	5	1	24	2	28	26	41	45	7	180	26	16	12	0	9	27	19	10	11	7	63	106	52	31	70	16	62	896
OG0000016	12	24	5	2	10	17	49	16	10	105	38	61	15	11	57	25	0	0	0	21	78	59	62	13	68	8	126	892
OG0000017	19	36	50	56	17	24	22	39	22	35	57	32	34	39	62	44	13	10	11	37	32	31	33	32	29	15	45	876
OG0000018	11	54	2	6	9	27	42	57	41	64	31	26	18	2	96	27	6	1	1	47	33	42	42	34	44	21	33	817
OG0000019	21	51	3	6	31	18	14	36	17	21	61	6	7	1	81	45	56	5	16	75	48	33	34	45	32	19	29	811
OG0000020	4	16	15	0	51	2	23	16	14	53	44	11	28	0	3	26	18	14	5	15	87	97	96	11	33	5	84	771
OG0000021	0	18	18	9	31	38	24	14	22	74	47	9	3	1	10	52	6	3	2	56	40	78	32	24	52	43	54	760
OG0000022	2	40	4	10	12	0	12	3	10	39	9	1	1	4	3	11	3	4	3	15	66	65	86	24	98	4	224	753
OG0000023	0	0	0	4	20	20	16	26	11	110	29	10	4	0	10	36	0	0	0	37	54	108	49	59	100	28	15	746
OG0000024	0	0	0	0	0	0	0	0	0	9	9	0	0	686	1	0	0	0	0	0	0	0	2	0	1	0	2	710
OG0000025	0	0	0	4	37	18	28	39	25	105	19	45	26	3	4	54	0	0	1	50	32	48	40	20	26	35	26	685
OG0000026	0	2	1	0	15	34	78	6	4	102	49	11	1	0	53	23	6	3	5	41	9	29	26	11	26	31	77	643
OG0000027	7	22	8	31	4	35	46	19	19	94	16	13	17	7	28	31	22	17	24	43	24	12	25	9	12	7	38	630
OG0000028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	629	629
OG0000029	7	5	17	20	13	12	15	25	21	38	16	17	41	33	53	18	8	9	9	39	17	23	26	8	49	8	62	609
OG0000030	3	3	0	2	0	3	97	10	2	4	3	27	14	0	27	3	14	10	4	27	44	90	54	6	67	3	91	608
OG0000031	0	0	0	2	8	1	3	1	7	21	4	5	7	0	35	6	8	3	6	48	4	300	38	13	64	6	13	603
OG0000032	0	1	0	0	1	0	3	2	0	0	1	37	35	0	2	1	1	0	0	0	155	114	9	1	99	1	125	588
OG0000033	3	13	3	2	4	3	35	15	4	11	2	2	4	6	22	17	10	9	7	16	70	114	109	11	47	7	37	583
OG0000034	0	0	0	1	17	0	1	0	0	0	1	19	15	1	52	1	2	2	2	1	44	96	157	0	104	1	60	577
OG0000035	0	0	0	0	0	0	0	0	0	0	0	0	0	575	0	0	0	0	0	0	0	0	0	0	0	0	0	575
OG0000036	0	7	0	34	6	2	210	0	5	4	20	2	5	32	18	12	116	1	0	6	10	14	8	2	1	3	39	557
OG0000037	4	12	33	14	33	12	44	11	8	19	25	28	20	29	4	6	18	0	12	26	8	99	13	11	3	10	47	549
OG0000038	2	9	14	16	26	35	88	15	7	12	17	6	5	0	19	16	60	5	12	22	25	30	24	17	29	5	28	544
OG0000039	3	5	14	20	6	4	6	9	1	22	14	25	7	1	24	21	28	30	23	22	58	44	55	15	57	3	23	540
OG0000040	0	19	5	4	28	8	0	6	19	3	52	31	7	0	2	83	3	10	9	43	8	112	11	22	6	38	10	539
OG0000041	2	17	12	4	55	14	23	21	8	13	28	32	0	1	8	37	3	6	6	75	30	44	25	17	1	32	17	531
OG0000042	3	11	4	2	5	23	17	5	34	70	9	38	38	6	4	6	13	6	6	8	33	48	46	4	48	3	36	526
OG0000043	0	0	1	4	42	37	51	0	33	31	1	7	4	8	14	26	11	0	19	52	30	38	30	1	3	37	36	516
OG0000044	0	5	0	1	40	18	29	39	11	41	21	31	19	1	4	29	0	0	0	45	25	26	31	28	24	23	18	509
OG0000045	4	18	1	0	31	9	44	7	2	7	17	11	36	2	2	9	50	34	4	20	35	37	23	7	24	32	36	502
OG0000046	2	5	3	4	0	1	117	0	1	10	3	1	39	0	5	1	1	0	0	3	15	83	72	3	45	5	69	488
OG0000047	2	0	0	5	17	4	6	10	2	43	71	1	1	2	16	38	13	2	19	3	38	38	59	13	41	15	28	487
OG0000048	0	7	18	7	26	3	12	7	23	49	31	10	2	0	44	20	1	4	2	36	21	44	29	29	19	11	8	463
OG0000049	11	16	4	11	14	15	15	13	12	49	9	28	15	0	29	21	25	35	11	10	13	23	13	7	27	9	27	462
OG0000050	7	13	10	6	8	2	2	12	11	8	15	16	21	6	39	18	4	3	3	23	42	26	48	9	47	7	55	461
OG0000051	0	20	1	2	0	0	350	2	0	2	1	0	2	0	2	1	1	1	1	1	12	30	6	1	20	0	3	459
OG0000052	0	4	4	7	23	26	26	14	9	31	57	3	14	0	8	33	0	0	0	27	10	31	15	23	30	22	39	456
OG0000053	0	0	0	3	23	6	9	9	17	99	29	9	16	0	10	11	1	2	0	38	20	40	42	8	25	9	26	452
OG0000054	9	33	19	11	14	14	11	16	9	18	14	33	22	3	12	20	11	9	10	36	10	24	17	20	11	11	32	449
OG0000055	8	7	18	5	16	5	4	15	2	43	36	6	22	0	8	28	1	17	0	41	4	124	14	5	2	0	15	446
OG0000056	4	9	12	10	6	18	16	6	2	12	11	19	17	8	25	14	4	3	4	17	41	51	39	13	40	6	36	443
OG0000057	0	2	42	7	41	2	0	9	1	9	29	0	4	0	34	37	15	1	2	34	12	22	24	44	20	24	24	439
OG0000058	0	2	11	2	4	0	0	11	1	122	17	0	2	5	2	40	6	3	0	38	16	30	14	9	40	24	27	426
OG0000059	13	6	29	4	17	10	16	2	20	48	11	0	21	0	5	18	6	8	7	7	27	49	23	30	28	2	17	424
OG0000060	3	4	1	4	8	0	2	3	0	0	22	21	3	0	10	25	56	1	1	7	27	41	36	14	70	12	52	423
OG0000061	0	2	17	10	14	0	8	8	10	95	9	7	7	46	13	30	11	10	2	43	10	21	9	3	9	17	7	418
OG0000062	3	6	7	0	2	12	10	6	4	20	23	15	30	0	39	7	46	4	21	12	17	19	34	9	42	10	19	417
OG0000063	1	5	26	9	30	21	8	13	10	3	35	10	8	1	23	15	2	1	1	50	16	37	18	15	24	17	16	415
OG0000064	3	6	64	5	8	3	5	9	10	11	22	7	5	4	27	20	23	46	37	29	8	10	10	15	8	10	7	412
OG0000065	13	8	4	2	0	2	14	36	1	1	15	3	3	8	86	24	54	13	8	67	2	2	2	4	2	32	5	411
OG0000066	0	21	17	2	16	11	11	40	24	8	11	5	5	22	1	34	10	10	7	51	5	49	8	7	10	13	11	409
OG0000067	0	2	0	2	20	5	9	14	4	63	11	5	1	0	34	18	0	0	0	54	25	42	23	13	44	11	4	404
