Orthogroup	Acaulospora-colombiana-protein	Acaulospora-morrowiae-protein	Ambispora-gerdemannii-protein	Ambispora-leptoticha-protein	Cetraspora-pellucida-protein	Claroideoglomus-candidum-CCK-protein	Claroideoglomus-lamellosum-protein	Dentiscutata-heterogama-protein	Diversispora-eburnea-protein	Diversispora-epigaea-protein	Diversispora-erythropus-protein	Funneliformis-caledonium-protein	Funneliformis-mosseae-protein	Geosiphon-pyriformis-protein	Gigaspora-margarita-BEG34-protein	Gigaspora-rosea-FL-protein	Innospora-majewskii-protein	Paraglomus-brasilianum-protein	Paroglomus-occultum-protein	Racocetra-persica-protein	Rhizophagus-cerebriforme-protein	Rhizophagus-clarus-protein	Rhizophagus-diaphanus-protein	Rhizophagus-fulgida-protein	Rhizophagus-irregularis-protein	Scutellospora-calospora-protein	Septoglomus-turnauae-protein
OG0032949	CAG8437292.1																										
OG0032950	CAG8437298.1																										
OG0032951	CAG8437455.1																										
OG0032952	CAG8437590.1																										
OG0032953	CAG8437694.1																										
OG0032954	CAG8437869.1																										
OG0032955	CAG8437921.1																										
OG0032956	CAG8438211.1																										
OG0032957	CAG8438510.1																										
OG0032958	CAG8438521.1																										
OG0032959	CAG8438528.1																										
OG0032960	CAG8438535.1																										
OG0032961	CAG8438585.1																										
OG0032962	CAG8439006.1																										
OG0032963	CAG8439083.1																										
OG0032964	CAG8439366.1																										
OG0032965	CAG8439790.1																										
OG0032966	CAG8440078.1																										
OG0032967	CAG8440626.1																										
OG0032968	CAG8440908.1																										
OG0032969	CAG8440949.1																										
OG0032970	CAG8441066.1																										
OG0032971	CAG8441204.1																										
OG0032972	CAG8441342.1																										
OG0032973	CAG8441871.1																										
OG0032974	CAG8441895.1																										
OG0032975	CAG8442289.1																										
OG0032976	CAG8442300.1																										
OG0032977	CAG8443062.1																										
OG0032978	CAG8443650.1																										
OG0032979	CAG8443780.1																										
OG0032980	CAG8443899.1																										
OG0032981	CAG8444364.1																										
OG0032982	CAG8444531.1																										
OG0032983	CAG8444557.1																										
OG0032984	CAG8444703.1																										
OG0032985	CAG8444923.1																										
OG0032986	CAG8444937.1																										
OG0032987	CAG8444993.1																										
OG0032988	CAG8445344.1																										
OG0032989	CAG8445407.1																										
OG0032990	CAG8445950.1																										
OG0032991	CAG8446359.1																										
OG0032992	CAG8447053.1																										
OG0032993	CAG8447270.1																										
OG0032994	CAG8447282.1																										
OG0032995	CAG8447416.1																										
OG0032996	CAG8447644.1																										
OG0032997	CAG8447839.1																										
OG0032998	CAG8447862.1																										
OG0032999	CAG8447889.1																										
OG0033000	CAG8448427.1																										
OG0033001	CAG8449154.1																										
OG0033002	CAG8449187.1																										
OG0033003	CAG8449295.1																										
OG0033004	CAG8449403.1																										
OG0033005	CAG8450059.1																										
OG0033006	CAG8450784.1																										
OG0033007	CAG8451414.1																										
OG0033008	CAG8452050.1																										
OG0033009	CAG8453026.1																										
OG0033010	CAG8453072.1																										
OG0033011	CAG8453475.1																										
OG0033012	CAG8453714.1																										
OG0033013	CAG8454398.1																										
OG0033014	CAG8454466.1																										
OG0033015	CAG8454684.1																										
OG0033016	CAG8455134.1																										
OG0033017	CAG8455365.1																										
OG0033018	CAG8455536.1																										
OG0033019	CAG8455772.1																										
OG0033020	CAG8455863.1																										
OG0033021	CAG8455949.1																										
OG0033022	CAG8456676.1																										
OG0033023	CAG8457058.1																										
OG0033024	CAG8457095.1																										
OG0033025	CAG8457176.1																										
OG0033026	CAG8457238.1																										
OG0033027	CAG8457417.1																										
OG0033028	CAG8457803.1																										
OG0033029	CAG8457842.1																										
OG0033030	CAG8457980.1																										
OG0033031	CAG8458248.1																										
OG0033032	CAG8458857.1																										
OG0033033	CAG8459204.1																										
